entry,nu_e,nu_pdg,weightSplineTimesTuneTimesPPFX,weightSplineTimesPPFX,interaction
34,0.6680695,12,1.2263634,1.0708746,0
35,1.3411514,12,0.95113415,0.81102246,0
66,0.7398098,12,2.1474965,0.75414926,10
94,1.9843583,12,1.0696137,1.0696137,1
99,1.7967019,12,2.2906054e-33,0.8431274,10
101,1.0018039,12,0.6849703,0.60833603,0
114,1.0826664,12,0.0005804492,0.904041,10
119,0.45272997,12,0.5769988,0.50752306,0
126,0.83437073,12,1.1961814,1.0267485,0
133,1.1680553,12,1.3553921,1.1484823,0
143,0.66318715,12,1.2951348,1.1400181,0
145,1.1297582,12,1.0329763,1.0329763,1
156,0.8821797,12,0.78764,0.78764,1
160,0.80938363,12,0.8046547,0.67480004,0
162,1.450537,12,0.98139584,1.3928106,1
167,2.3138654,12,1.3061311,1.0487839,0
183,1.0260918,12,4.135164,0.92209995,10
185,0.9436828,12,0.64943224,0.5569797,0
190,0.9214518,12,0.5928964,0.5042291,0
231,1.0563687,12,0.95740277,0.95740277,1
243,1.074624,12,0.65187776,0.5749628,0
246,0.9938323,12,2.4689815,1.9155471,0
263,0.62409353,12,1.1368617,1.0140066,0
271,1.3565661,12,1.5688311,0.9894992,10
285,1.0844394,12,1.2436833,1.0362653,0
292,0.48469746,12,0.64801663,0.59587437,0
300,2.0984597,12,0.76583624,0.76583624,1
319,0.5857572,12,0.6588596,0.5756742,0
346,0.9930127,12,0.5454316,1.0061269,10
350,1.0347052,12,0.9462379,0.8342517,0
364,0.59832674,12,0.77725065,0.6676692,0
375,0.6930972,12,1.2072725,1.072994,0
395,1.0828617,12,0.4876341,0.4916628,0
411,1.4631416,12,1.0457664,0.9307802,0
416,0.6614358,12,0.6071647,0.54113454,0
423,1.4898053,12,1.377778,1.1710252,0
472,0.827818,12,1.1034175,1.0217052,0
477,0.8886881,12,1.329842,1.1478016,0
482,0.6606091,12,1.2273936,1.0519233,0
486,0.55349654,12,0.76706207,0.6672148,0
501,0.74120796,12,1.2460437,1.0408792,0
503,1.2304384,12,0.6973725,0.5929605,0
519,1.1131144,12,1.1008692,0.9740485,0
520,0.63798165,12,1.1919134,1.0184507,0
547,1.0867836,12,1.1899598,1.0046656,0
563,0.7006534,12,0.025010655,1.0334245,10
576,1.5992665,12,1.1096631,1.1096631,1
587,1.2331303,12,0.7282488,0.6045491,0
636,0.74266833,12,1.4735614,1.2561972,0
651,1.136518,12,0.68912685,0.59517086,0
653,0.66262466,12,6.284146,1.0808285,10
675,0.6862454,12,0.86180055,0.72973454,0
682,1.1564511,12,0.68995,0.5913602,0
688,0.35509077,12,1.1497316,1.0022751,0
710,1.31394,12,1.0913482,0.92649263,0
734,0.87048954,12,1.2112311,0.9722108,0
754,0.6650845,12,1.0320947,0.8848615,0
761,0.8529646,12,1.1566206,0.9810734,0
778,0.65936625,12,1.7876433,1.5907508,0
780,0.7547785,12,1.110268,0.9208169,0
785,0.91900754,12,1.0491812,0.96977603,0
801,0.8952372,12,1.5115327,1.3044225,0
822,0.65165424,12,1.183195,0.9554954,10
830,0.868373,12,0.9129284,0.8049798,0
834,2.2733905,12,0.95970297,0.95970297,2
884,1.0239514,12,0.19498943,1.0119052,10
891,0.6696813,12,1.0,1.0,1
906,1.0070177,12,1.5301766,1.2909476,0
957,0.7824714,12,0.9892602,0.8405514,0
963,1.6509668,12,1.223945,1.0449924,0
968,0.95658916,12,0.88098156,0.88098156,1
970,1.4980801,12,1.216061,1.042234,0
977,0.9259747,12,0.10843608,1.0369107,10
1013,0.7025226,12,1.0848792,0.9358061,0
1014,1.2262217,12,0.7950686,0.7950686,1
1015,1.7860537,12,0.0025433009,0.9812131,10
1023,0.5214397,12,0.15051779,0.12984812,0
1025,0.6040444,12,1.2179654,1.0428982,0
1026,1.0333438,12,1.1496437,0.991611,0
1042,2.7909048,12,1.7156473,1.7156473,1
1068,3.0314078,12,1.179504,1.0496682,0
1074,0.8455424,12,1.4640479,1.167231,0
1081,1.3646684,12,0.51028496,0.51028496,1
1082,1.1879632,12,0.9119876,0.75666255,0
1087,1.2844146,12,1.1306207,0.8997304,0
1088,0.71257263,12,1.15392,0.9982426,0
1092,0.7414913,12,1.0837497,0.88595843,0
1101,0.95873505,12,1.0275054,0.8677585,0
1115,1.068062,12,1.0545992,1.0448678,0
1116,1.6043814,12,0.93909144,0.8545729,0
1124,0.76616645,12,0.002349873,1.0234871,10
1137,3.0611608,12,1.0488993,1.0488993,10
1140,1.603274,12,1.1200857,0.9545429,0
1152,0.92798704,12,2.2285013,1.802396,0
1155,0.45814738,12,1.1107628,0.9408039,0
1169,1.1735221,12,1.2080837,1.0809088,0
1172,2.2529876,12,1.1241877,0.9593883,0
1214,0.53707045,12,1.1053364,0.95180047,0
1238,0.5109557,12,1.346263,1.1624194,0
1248,0.57043535,12,0.70221126,0.59721094,0
1264,0.94601935,12,1.0338707,0.9784862,0
1274,1.118964,12,1.220831,1.0254401,0
1279,1.598002,12,0.73003256,0.63296676,0
1285,0.9208988,12,0.28831497,1.0295088,10
1292,1.2096529,12,0.6690072,0.5681614,0
1294,0.87236977,12,0.7423607,0.817038,0
1312,1.0371004,12,5.0889935e-06,0.70981467,10
1320,0.8942049,12,1.0746491,0.92656416,0
1325,0.8154543,12,0.69946223,0.5935085,0
1347,1.7506285,12,0.76436216,0.77395827,0
1356,0.94870716,12,1.1511486,0.9440162,0
1385,1.7227726,12,1.4397954,1.2397726,0
1392,1.0605187,12,1.1780875,0.9960032,0
1410,0.78574216,12,1.0439312,1.0439312,1
1477,1.7657462,12,0.9178519,0.8076003,0
1478,1.118999,12,0.00064787024,0.9417296,10
1491,1.4154527,12,0.9581748,0.86242783,0
1494,0.8911387,12,0.57106537,0.50830793,0
1497,0.9306614,12,0.6681839,0.5560196,0
1500,1.4827844,12,8.660965,1.0354866,10
1527,0.90832835,12,0.56895286,0.56895286,1
1535,0.47752956,12,1.003774,0.8327127,0
1547,1.2449602,12,1.0446546,1.0446546,1
1559,0.8385416,12,0.8453382,0.7033888,0
1571,1.1109267,12,2.565708,0.55356103,10
1572,1.2107364,12,1.5037229,1.2768764,0
1573,0.76448613,12,1.0422465,0.9373344,0
1575,2.4769905,12,1.201343,1.0234132,0
1614,2.3058236,12,0.8489659,0.7435252,0
1629,1.1702635,12,0.154313,1.1135716,10
1648,0.86417454,12,1.2714641,1.0829345,0
1649,1.8181143,12,3.5950447e-06,0.54604125,10
1660,1.9410483,12,0.79093724,0.79093724,1
1677,0.7514893,12,1.3137885,1.1250753,0
1717,0.6925465,12,1.0904676,0.96602374,0
1740,2.1415663,12,1.2748697,1.0779438,0
1741,2.2559197,12,0.0037432178,0.98821574,10
1747,1.6867374,12,1.1961468,0.9872211,0
1748,1.1150864,12,1.6890515,0.85914356,10
1754,0.84002084,12,1.2599622,1.016622,0
1759,0.6341152,12,1.1996266,1.0524659,0
1766,0.7106654,12,0.6924187,0.58778954,0
1770,1.2389222,12,4.9606867,0.99203694,10
1782,0.5403713,12,1.2059605,1.038511,0
1802,0.8877303,12,0.9058433,0.7851047,0
1807,0.63383764,12,0.9906165,1.0594347,10
1826,1.5376953,12,0.64657605,0.64657605,1
1842,1.4369197,12,6.893371,0.584198,10
1864,2.156986,12,1.1450847,0.8920227,0
1884,0.8696085,12,0.39718238,0.6460974,10
1892,1.0538414,12,1.0231735,1.0231735,1
1893,0.7369966,12,0.55009973,0.55009973,1
1924,1.5399896,12,1.7446287,1.7446287,1
2015,1.110261,12,0.8131374,0.8131374,1
2020,1.4355656,12,1.2065814,1.0470209,0
2025,0.902613,12,0.10612404,0.54106563,10
2037,1.4773867,12,0.7105443,0.58511645,0
2038,2.1509228,12,0.66784394,0.5650357,0
2045,1.6341097,12,0.555526,0.49559537,0
2047,1.9191878,12,1.342786,1.1558931,0
2052,1.0256491,12,1.2403181,0.41928208,10
2073,1.1144072,12,1.4797068,1.2628008,0
2093,1.4846003,12,1.2018764,1.049909,0
2110,0.97320694,12,1.377174,1.1067176,0
2116,0.54848534,12,0.68243223,0.5727532,0
2149,1.8932962,12,0.7533936,0.7533936,1
2157,0.49178565,12,0.0055114813,0.919214,10
2192,2.0894341,12,1.0331724,0.8710585,0
2198,0.830044,12,0.8358485,0.70532686,0
