entry,nu_e,nu_pdg,weightSplineTimesTuneTimesPPFX,weightSplineTimesPPFX,interaction
45,0.9042082,12,1.2117354,1.0474318,0
52,1.1251907,12,0.9384273,0.87154603,0
110,1.5630853,12,4.7442998e-05,0.6396156,10
137,1.6570956,12,5.1728854,0.51682234,10
158,1.2097478,12,0.8580125,0.72451705,0
237,1.3428752,12,0.58001465,0.58001465,2
269,0.35636437,12,0.56442493,0.45973828,0
368,0.46759602,12,0.82060117,0.82060117,1
377,1.1754781,12,0.98008496,0.7400251,0
385,0.41025558,12,1.0490632,1.0133429,0
492,0.9131957,12,2.7328276e-06,0.9917133,10
553,0.6700206,12,3.498725,1.0095363,10
671,1.317947,12,1.6823934,1.3204459,0
690,0.82745486,12,1.2049179,0.98989964,0
698,0.41302562,12,1.477329,1.0671054,0
724,0.454782,12,1.2456528,1.0306333,0
731,1.4348379,12,4.499974e-06,0.4418783,10
799,1.2887566,12,0.7139244,0.6081465,0
848,1.4192326,12,1.2334104,1.075611,0
872,0.51712835,12,1.1501244,0.99624014,0
873,0.9516345,12,1.1206908,0.9707793,0
940,1.7514625,12,0.36910984,0.28431,0
1195,1.5875928,12,0.70595217,0.65187883,0
1275,1.0118499,12,1.0794641,1.0308405,0
1303,0.87923414,12,1.8248024,1.5780447,0
1511,0.65836775,12,0.00021337421,1.4114562,10
1564,1.6595657,12,0.021260574,1.071327,10
1631,0.6861117,12,1.1157973,0.94958395,0
1646,1.3200021,12,1.4246632e-08,0.9806238,10
1695,0.51672363,12,0.87748104,0.83067864,0
1709,0.6895526,12,1.3467267,1.1076752,0
1734,0.7939787,12,1.0198548,0.9996446,0
1755,1.4311321,12,1.5021496,1.1196514,0
1783,0.446023,12,1.4114863,0.98146296,0
1787,0.7355454,12,0.99320686,0.99320686,1
1869,0.3317841,12,1.1115215,0.93047166,0
1885,0.6578051,12,1.1170174,1.0319607,0
2035,1.2117821,12,0.9970784,0.90893066,0
2058,2.2833533,12,1.0126249,1.0126249,10
2127,1.1403416,12,1.3753675,1.1775547,0
