entry,nu_e,nu_pdg,weightSplineTimesTuneTimesPPFX,weightSplineTimesPPFX,interaction
157,0.6781604,-12,1.1102942,0.9054081,0
295,0.7205282,-12,0.75657374,0.7026903,0
330,1.9808139,-12,0.98284006,1.0028348,0
334,1.1866534,-12,1.2793057,1.2793057,1
354,1.5537128,-12,1.1326267,0.9981912,0
438,1.0118235,-12,2.740354e-09,1.157836,10
444,1.6941501,-12,0.9271321,0.9271321,1
455,1.579153,-12,1.0524917,0.9269568,0
988,1.5771601,-12,0.114369504,1.1108389,10
1007,4.772129,-12,1.1554753,0.9423923,0
1056,1.0069046,-12,1.1185046,1.0051823,0
1100,1.2163298,-12,0.9900972,0.9505235,0
1148,1.4224892,-12,1.0531688,0.9354599,0
1157,1.6361649,-12,1.1045691,0.9929745,0
1333,0.85717314,-12,0.5681658,0.4944126,0
1403,1.8263361,-12,1.0268782,0.9568404,0
1485,2.476499,-12,1.0159991,0.90701914,0
1606,1.1814629,-12,0.8439978,0.8350112,0
1700,0.7910305,-12,0.5729643,1.0122612,10
1786,1.265248,-12,0.49301955,0.4922237,0
1933,1.2395561,-12,1.8801934,1.0531379,10
1981,0.8040603,-12,1.1100817,0.9084203,0
2204,1.4547893,-12,0.96797585,0.96797585,1
2269,0.7115105,-12,1.3946968,1.0374459,0
2529,1.7677135,-12,1.1709698,1.0747297,0
2636,1.0207455,-12,8.187458,1.0862713,10
2705,1.3680693,-12,0.13227601,0.6733701,10
2827,0.80003446,-12,1.067177,0.9079783,0
3123,0.44865125,-12,4.1857773e-05,0.8173945,10
3138,0.8488309,-12,0.7121611,0.6252239,0
3243,0.7684072,-12,0.9876987,0.9217905,0
3326,0.5922051,-12,3.7028603e-06,1.1439204,10
3340,1.1728332,-12,0.98240054,0.90051186,0
3345,1.0054007,-12,0.54803455,0.5628443,0
3698,1.3918339,-12,7.711036e-05,0.788145,10
3733,1.6322492,-12,0.48228922,0.41286016,0
3900,0.67462546,-12,1.0939335,0.9956897,0
4057,0.8095528,-12,1.077308,1.0200696,0
4076,1.4566487,-12,1.1153848,0.94874716,0
4232,0.52953285,-12,1.0340235,0.94137573,0
4252,1.1545999,-12,1.0228842,0.99153614,0
4294,1.4753488,-12,0.80157566,0.9718371,0
4335,0.9174664,-12,1.1247572,0.98081994,0
4555,0.43041795,-12,0.78876185,0.7328801,0
4640,2.5680604,-12,0.556589,0.556589,10
4862,0.7304026,-12,3.132111,1.0006752,10
4894,0.9974073,-12,0.92052805,0.8363433,0
4916,1.0205057,-12,1.1106682,0.94425356,0
4943,0.7148207,-12,1.2498608,1.0437849,0
5010,3.6640232,-12,1.0,1.0,1
5166,2.189982,-12,0.0075126747,1.0013155,10
5171,1.9590805,-12,0.9957154,0.9957154,2
5271,0.58565116,-12,0.98843426,0.9217905,0
5275,0.91693443,-12,1.7881666e-06,0.8224258,10
5333,0.87600327,-12,1.0074705,0.95147836,0
5334,0.7316932,-12,0.46163613,0.38969734,0
5462,1.2265512,-12,0.71124935,0.48884276,10
5478,1.2956908,-12,1.2319913,1.0356549,0
5527,0.9636647,-12,1.2146379,1.0451256,0
5572,0.7887659,-12,0.86595786,0.9084203,0
5627,0.939333,-12,1.208332,1.0115379,0
6015,0.95018816,-12,0.00019357137,1.0656923,10
6124,0.8675145,-12,1.2225875,1.0018898,0
6193,1.8914516,-12,0.87520534,0.87520534,10
6234,0.80281705,-12,0.4826822,0.4390806,0
6315,0.84469223,-12,1.1380547,1.0377434,0
6452,1.2335371,-12,0.0015149321,0.92248774,10
6476,1.4270496,-12,1.1308297,1.0396581,0
6658,1.3123984,-12,1.3034718,1.0008918,0
6682,1.2801753,-12,0.634466,0.5370983,0
6839,1.188537,-12,0.9973718,0.8871712,0
6894,0.52942127,-12,1.3620963,1.166288,0
6959,0.6778994,-12,0.9377305,0.9507891,0
7013,1.7620933,-12,1.0128639,1.0128639,10
7073,2.1311812,-12,1.6065991,1.4488202,0
7262,2.234949,-12,1.2080129,0.97341233,0
7292,1.7912598,-12,1.011237,0.79421747,0
7346,1.0317706,-12,0.7344519,0.68038005,0
7381,0.85376877,-12,0.47514096,0.3893058,0
7410,1.5201521,-12,0.116870575,0.95608276,10
7471,1.5897652,-12,1.139708,0.9205516,0
7524,0.63937616,-12,2.0161872,1.0440974,10
7939,0.7494808,-12,2.346859,1.9979217,0
8061,3.7304637,-12,1.2764224,0.9505162,0
8069,2.9941165,-12,0.9949751,0.9949751,1
8159,1.1215428,-12,1.0542142,1.0185288,0
8161,1.3665193,-12,0.6233995,0.6233995,2
8515,1.6124278,-12,1.0775205,0.94986975,0
8532,1.7790618,-12,1.0698291,0.9228876,0
