entry,nu_e,nu_pdg,weightSplineTimesTuneTimesPPFX,weightSplineTimesPPFX,interaction
277,2.480461,-12,0.92382073,0.92382073,10
434,0.4867854,-12,0.06594709,1.1259035,10
842,1.0502646,-12,0.88165987,0.88165987,1
1470,1.1026715,-12,0.15157506,0.92004263,10
1785,1.1484591,-12,0.6865935,0.97481537,2
1881,1.3647215,-12,1.2891955,1.2891955,1
2246,1.2719295,-12,0.0061593656,1.1299378,10
2285,0.9226982,-12,1.0120724,0.9217905,0
2332,1.21081,-12,1.0353512,0.88763684,0
2480,1.4830908,-12,1.074269,1.074269,1
2481,1.288957,-12,1.0438023,0.9026491,0
2531,1.3590397,-12,0.542949,0.542949,1
2647,2.214206,-12,0.45323634,0.45323634,1
2795,1.8730658,-12,1.0528326,1.0528326,2
3215,2.7650645,-12,1.2069873,1.0257311,0
3550,1.5477736,-12,2.6028445,1.0266203,10
3785,4.2467337,-12,1.0253084,1.0253084,10
4082,2.067491,-12,1.1124959,1.1124959,1
4324,3.542082,-12,0.99459,0.99459,1
4332,0.754556,-12,0.078094415,0.87791336,10
4645,0.83341736,-12,7.9068017,0.73566073,10
4671,0.999088,-12,0.8766765,0.8766765,1
5081,1.5236747,-12,0.9539062,0.9539062,1
5294,1.8496966,-12,0.68100566,0.68100566,2
5376,1.6392533,-12,1.093789,1.093789,1
5446,0.81878877,-12,0.7264544,0.617789,0
5538,2.4057481,-12,0.8992274,0.780833,0
5679,2.7538533,-12,1.0564169,0.9223096,0
5735,0.93530095,-12,1.202976,1.0292219,0
5880,3.5976522,-12,1.1877079,1.0060503,0
6280,0.44097942,-12,0.75846744,0.61049265,0
6304,1.0762342,-12,0.9234514,0.9234514,1
6396,0.9070092,-12,1.0080882,1.0080882,1
6601,1.1965774,-12,1.5906501,0.83787453,10
6711,2.9285805,-12,0.9789812,0.9789812,2
7007,2.3677337,-12,1.3729393,1.3729393,1
7089,2.4047365,-12,0.94525284,0.94525284,10
7220,1.134275,-12,1.0653428,0.93880045,0
7288,1.9463989,-12,1.1438591,1.0345285,0
7364,3.0483317,-12,1.1853215,1.1853215,1
7417,0.8357553,-12,1.099187,1.099187,1
7502,1.9953748,-12,1.0062453,1.0062453,1
7574,1.203426,-12,0.45146137,0.3815145,0
7900,4.279337,-12,0.59780455,0.52568847,0
7986,2.0322886,-12,1.1736851,1.0291804,0
8110,1.6652622,-12,0.87791336,0.87791336,1
8730,1.5283378,-12,0.0048134844,0.96786046,10
9040,1.29205,-12,2.688474,0.95015496,10
9651,1.1591384,-12,0.97760266,0.97760266,1
9763,1.3068192,-12,0.89979756,0.89979756,1
9927,1.2484487,-12,1.0499789,1.0499789,1
10126,0.6026994,-12,0.7775745,0.7415606,0
10351,1.2513711,-12,0.96786046,0.96786046,1
10394,2.8164244,-12,1.0023949,0.85557765,0
10424,1.9459953,-12,1.1252933,0.9405421,0
10509,1.5649447,-12,1.1602311,0.997012,0
10707,1.5362643,-12,0.030846966,0.55947477,10
10777,0.575804,-12,0.6503877,0.5363597,0
11136,1.5532967,-12,1.7751929,0.5125709,10
11235,0.83522207,-12,0.22043142,0.4977011,10
11273,1.4217561,-12,1.1016903,0.95563406,0
11320,2.454036,-12,1.0507531,1.0507531,2
11429,2.3485553,-12,0.5971834,0.88450927,1
11480,1.0804615,-12,0.64723116,0.5608238,0
11531,1.7248775,-12,1.308212,1.2233307,0
12037,1.3582038,-12,1.0718595,1.0510436,0
12378,1.1374333,-12,0.9805465,0.9805465,1
12417,0.7950019,-12,1.0178362,1.0178362,1
12520,1.2137697,-12,1.0628259,1.0628259,1
12664,2.1077397,-12,0.3915051,0.3915051,1
12700,1.4156418,-12,1.1526519,1.0343369,0
12732,1.107715,-12,0.99935573,0.99935573,1
12743,2.2697983,-12,0.9878058,0.9878058,1
12792,0.45256087,-12,0.007843069,0.58093315,10
13007,1.2815672,-12,1.1471475,1.0481673,0
13101,1.3007135,-12,9.351092,0.9209799,10
13241,1.381402,-12,0.94913775,0.94913775,1
13662,3.0201483,-12,0.95132244,0.835388,0
14100,2.3542461,-12,0.5338477,0.5338477,1
14119,1.397063,-12,5.3944774,0.8669052,10
14158,1.2799407,-12,0.9426921,0.99682075,0
14207,1.5563546,-12,1.1142353,0.9552925,0
14233,2.334597,-12,0.9882608,0.9882608,1
14271,1.3507689,-12,1.0512135,0.9326619,0
14617,1.462517,-12,8.019373,0.9545681,10
14699,1.1525718,-12,0.0010546378,1.0423403,10
14775,2.6601334,-12,1.0999027,1.0461557,0
14948,1.343776,-12,0.90530086,0.8133542,0
15437,1.4382178,-12,1.0250039,1.0250039,1
15533,1.6742686,-12,0.6989756,1.0040162,1
15548,1.372108,-12,0.85937566,0.85937566,1
15552,1.6589338,-12,4.0098637e-13,1.0161682,10
15684,1.1881917,-12,0.74915284,1.0493425,10
15772,1.367019,-12,0.5653258,0.4870409,0
16053,1.3650833,-12,1.0733685,0.986624,0
16205,1.0806917,-12,0.55454487,0.55454487,1
16562,1.5674009,-12,0.997012,0.997012,1
16634,0.96564376,-12,1.1181314,0.9765557,0
16874,0.48330012,-12,1.151346,0.96543044,0
17076,1.3300396,-12,6.9274937e-09,0.44219992,10
17234,1.2210228,-12,1.4061669,1.1665592,0
17761,1.770344,-12,1.0311762,1.0311762,1
17763,1.9003186,-12,0.9831685,0.9831685,1
17950,2.7517812,-12,1.1530385,1.0285498,0
18128,0.60118824,-12,1.1481133,0.9868296,0
18134,1.3696448,-12,0.6633304,0.6633304,1
18475,0.8481917,-12,0.65361625,0.5599796,0
18734,1.6599464,-12,0.7309166,0.63173604,0
19126,0.971842,-12,10.800331,0.9535346,10
19160,1.3462498,-12,1.1181601,0.96879005,0
19301,1.1557653,-12,7.8055673,0.88648546,10
19381,2.2544506,-12,4.4562861e-07,1.6807355,10
19597,1.5034726,-12,1.1683216,0.56898224,10
19716,0.6978377,-12,0.6760237,0.61382484,0
19917,1.6829557,-12,1.1530136,1.0434659,0
20021,1.4144441,-12,0.9488635,0.9488635,1
20200,1.0258949,-12,1.3045351e-06,0.63752025,10
20212,1.7756014,-12,2.4954616e-05,0.43999162,10
20270,0.5760905,-12,1.0111926,1.0111926,1
20302,1.1389163,-12,1.0455295,0.891955,0
20396,1.4877213,-12,0.5638443,0.5638443,1
20423,3.5322094,-12,1.0067354,1.0067354,1
20569,0.9594952,-12,1.3680058,0.59203076,10
21061,0.7830368,-12,6.354461,0.925991,10
21062,1.6038493,-12,0.45207047,0.45207047,1
21312,0.5628617,-12,0.8049639,0.6736393,0
21371,2.3450103,-12,0.03924571,0.53861594,10
