entry,nu_e,nu_pdg,weightSplineTimesTuneTimesPPFX,weightSplineTimesPPFX,interaction
1,1.7713989,-12,1.7882942e-24,0.9936889,10
4,2.2464528,-12,0.4064166,0.4064166,10
7,1.1872993,-12,0.58142567,0.8795507,1
9,1.2448523,-12,1.0269673,1.0269673,1
21,1.1288201,-12,0.94561076,0.94561076,2
25,1.3296895,-12,0.38728598,0.3214497,0
26,1.1282029,-12,0.30730736,0.5155291,2
40,1.2082781,-12,0.9195678,0.8127883,0
48,0.7349671,-12,0.6711877,0.598635,0
54,2.1115048,-12,1.0405606,1.0405606,1
69,2.7344475,-12,0.5601031,0.53699344,0
74,3.426934,-12,0.5919121,1.0261288,2
76,3.4406016,-12,0.55198354,0.94879854,1
84,0.5660404,-12,1.187306,0.96786046,0
92,0.8486329,-12,0.63451177,0.5282809,0
93,1.3625818,-12,1.1063741,1.0009518,0
96,3.68495,-12,0.50246423,0.8059455,1
102,3.394631,-12,0.9384651,0.9384651,3
103,1.4263622,-12,0.3481457,0.3481457,1
106,1.042191,-12,0.78691083,0.78691083,1
112,1.2490076,-12,0.00018260913,1.020246,10
117,4.1592345,-12,0.7411196,1.1229665,2
122,1.5713557,-12,0.7270648,0.5463413,0
128,1.1547107,-12,0.87162304,0.7720963,0
134,2.459494,-12,0.016183639,0.9112746,10
144,5.1400805,-12,0.5676724,0.8910366,2
146,0.5422409,-12,0.9748195,0.9804219,0
152,2.2418764,-12,0.5442021,0.94341946,2
155,2.071806,-12,0.4486728,0.38915038,0
157,0.6781604,-12,1.1102942,0.9054081,0
174,1.0270693,-12,8.506596e-05,0.58953446,10
188,3.3054855,-12,1.0799578,0.9327653,0
192,3.7334113,-12,0.34741908,0.51258296,1
194,1.7460501,-12,0.96351534,0.96351534,2
198,3.2146385,-12,1.0497073,1.0497073,1
199,1.272518,-12,0.28288943,1.0037628,10
200,1.7348803,-12,0.41895464,0.6195661,1
202,1.4345049,-12,1.0269128,0.87791336,0
205,1.2376071,-12,0.5269487,0.8016137,1
207,1.3021421,-12,1.1649427,1.0172181,0
219,2.7130005,-12,0.5462836,0.5462836,2
221,1.1153605,-12,1.0558813,0.90421164,0
238,1.9509773,-12,0.5241084,0.813546,1
253,1.8420613,-12,0.98649096,0.98649096,1
259,0.42562956,-12,0.5981503,0.58507305,0
262,0.9744487,-12,0.7727345,0.7727345,1
265,2.4790668,-12,0.92382073,0.92382073,10
267,0.8826084,-12,1.0313772,0.9575076,0
276,3.6838944,-12,0.16899635,0.2929692,2
277,2.480461,-12,0.92382073,0.92382073,10
279,2.5574872,-12,1.0875235,0.94848174,0
282,2.8759801,-12,0.7652107,0.59765893,0
284,0.8720424,-12,1.0335667,1.0335667,2
289,1.714059,-12,0.9632315,0.9442223,0
295,0.7205282,-12,0.75657374,0.7026903,0
296,2.29315,-12,0.9430418,1.0064447,0
297,0.87480724,-12,0.8491648,0.72453636,0
303,1.1530316,-12,0.48279446,0.6883709,1
310,2.2438283,-12,0.00016583137,1.3091958,10
311,2.9776642,-12,1.0460144,1.0460144,1
317,1.150453,-12,0.7961257,1.1209685,1
321,2.135243,-12,0.99703425,0.99703425,1
329,1.7521282,-12,0.9859571,0.9859571,2
330,1.9808139,-12,0.98284006,1.0028348,0
334,1.1866534,-12,1.2793057,1.2793057,1
336,1.002925,-12,0.612784,0.8726846,1
342,1.2302572,-12,1.146557e-06,0.7570643,10
354,1.5537128,-12,1.1326267,0.9981912,0
357,1.197155,-12,0.94441426,0.94441426,1
365,2.0799923,-12,1.15663,1.002288,0
382,2.3044462,-12,1.0482868,1.0482868,10
383,3.3270752,-12,0.39921355,0.39921355,1
386,1.3691039,-12,0.8380304,1.215601,1
389,0.71038955,-12,0.9128636,0.99860835,10
398,2.2912276,-12,0.58103114,0.8953478,1
399,1.8056939,-12,0.5604464,0.4876425,0
405,2.7630143,-12,0.8820523,0.8820523,1
417,2.1767948,-12,5.5927615,1.2655948,10
425,0.67844665,-12,0.8426575,0.8426575,1
434,0.4867854,-12,0.06594709,1.1259035,10
438,1.0118235,-12,2.740354e-09,1.157836,10
440,0.98996425,-12,1.0014141,1.0014141,1
444,1.6941501,-12,0.9271321,0.9271321,1
448,1.5776148,-12,0.8811202,0.78027755,0
454,0.97590935,-12,0.2140531,1.1243562,10
455,1.579153,-12,1.0524917,0.9269568,0
459,0.8124802,-12,0.5884492,0.50635564,0
470,2.6942031,-12,0.8035335,0.8035335,1
474,2.4876418,-12,1.0004772,1.0210469,0
475,0.4969979,-12,1.1692785,1.0172614,0
484,1.5035822,-12,2.6184692,0.99769926,10
485,1.34987,-12,0.61970556,0.9145542,2
496,2.1682146,-12,1.1628473,1.0449127,0
507,1.675697,-12,1.1052301,1.1052301,2
509,3.1738296,-12,0.6690693,0.9594903,1
523,0.9289174,-12,0.9528355,0.9528355,1
526,0.97637844,-12,0.69979817,0.6004228,0
531,1.6134734,-12,0.57119685,0.57119685,1
533,3.3925865,-12,1.2239109,1.1633937,0
534,1.1456741,-12,1.1061189,1.0456994,0
536,1.3943925,-12,1.0251176,1.0251176,1
540,3.826549,-12,0.99778,0.99778,1
541,0.27095866,-12,1.2466037,0.9252519,0
545,2.2044916,-12,0.36243498,0.6908911,10
550,1.9991717,-12,0.94190913,0.94190913,10
551,1.0530021,-12,1.0641214,1.0641214,1
556,1.4063237,-12,0.032401945,0.86181056,10
557,1.2213575,-12,0.89205074,0.89205074,1
564,1.3575871,-12,0.61309314,0.5268465,0
572,1.5077035,-12,0.6032308,0.6032308,1
601,1.6696132,-12,0.523144,0.523144,1
603,1.9754429,-12,0.5166135,0.5166135,1
613,1.3221439,-12,1.3255957,1.2298641,0
625,2.0371761,-12,0.89975375,0.89975375,1
629,1.8251283,-12,0.67893606,0.67893606,1
630,0.8161814,-12,0.00026170787,0.81170034,10
635,4.466978,-12,0.95263654,0.95263654,10
643,0.78464884,-12,1.2339889,0.988196,0
644,0.7319724,-12,0.6643178,1.0369202,0
659,2.1208062,-12,0.97199595,0.83561105,0
663,1.3563014,-12,0.6641804,0.9430183,1
673,3.5283659,-12,1.0430073,0.9034436,0
683,0.9073969,-12,1.1530583,1.0171149,0
706,1.4726124,-12,5.024114,1.2149557,10
707,2.0719702,-12,1.0698766,0.92465764,0
715,1.4963058,-12,0.65871245,0.65871245,1
728,1.5663003,-12,1.0812286,1.0381229,0
730,1.6256171,-12,1.4866523,1.4866523,1
733,1.5832925,-12,0.9143296,0.79835206,0
735,0.4360796,-12,0.0078015937,0.9881823,10
745,3.062796,-12,0.93756956,0.93756956,1
746,4.359143,-12,1.0064698,0.87995005,0
749,1.6760598,-12,0.83560914,0.91930205,0
756,1.0988227,-12,3.2145503,0.6642125,10
757,1.1213255,-12,0.51768935,0.82636064,2
762,3.123155,-12,0.6119939,0.5238721,0
777,2.8464105,-12,0.6580754,1.0063856,1
796,2.4111118,-12,1.0704699,0.9248283,0
798,1.040355,-12,0.7806198,0.7806198,2
802,1.4943823,-12,0.71621,0.5996493,0
804,1.0890844,-12,1.1181237,0.95203197,0
819,0.63084155,-12,1.2297425e-05,0.8923253,10
826,3.8407402,-12,0.9841718,0.9841718,2
827,1.1040127,-12,1.1588951,1.0158899,0
835,1.1340412,-12,0.5962313,0.5962313,1
837,3.607576,-12,0.5216836,0.5216836,1
842,1.0502646,-12,0.88165987,0.88165987,1
844,3.418435,-12,0.9660101,0.86230737,0
849,0.96276283,-12,0.7778056,0.7778056,1
857,1.7662952,-12,0.7814383,0.7576596,0
863,2.0128534,-12,0.4285758,0.41807535,0
865,1.6680894,-12,0.56504023,0.9152239,1
867,2.0525632,-12,0.9772996,0.9772996,1
871,1.2197131,-12,1.0800654,1.0800654,10
880,0.8958879,-12,0.8353963,0.72683007,0
883,1.353664,-12,0.6302447,0.9145542,1
892,0.9433302,-12,0.35112187,0.49772218,1
895,1.4191831,-12,1.0644832,1.0382514,0
896,2.8132303,-12,1.0263201,0.88491976,0
898,0.8338148,-12,0.80195475,0.73566073,0
901,0.52216524,-12,0.9998891,0.87791336,0
903,2.4673543,-12,0.31730115,0.4858647,2
914,2.818596,-12,0.9205543,0.9205543,1
918,2.5000393,-12,1.0446265,1.0446265,3
931,2.640963,-12,0.918339,0.918339,2
942,1.6778051,-12,0.9383075,0.9383075,2
943,1.1626526,-12,0.68525165,0.68525165,10
959,4.71273,-12,0.561306,0.8977778,1
964,1.9511195,-12,0.31222984,0.68523604,10
969,1.6108942,-12,0.9205516,0.9205516,1
971,0.65404505,-12,1.062028,0.8810638,0
973,0.835345,-12,0.00022801377,0.9727557,10
978,1.5643452,-12,0.43754396,0.67057157,10
984,0.62515736,-12,0.58782184,0.58782184,3
986,0.5849095,-12,0.99275225,1.0241911,0
988,1.5771601,-12,0.114369504,1.1108389,10
996,0.88326234,-12,0.68929493,1.224535,10
1000,1.978518,-12,0.53792715,0.53076255,0
1002,0.83221215,-12,0.9434973,0.9434973,1
1007,4.772129,-12,1.1554753,0.9423923,0
