entry,nu_e,nu_pdg,weightSplineTimesTuneTimesPPFX,weightSplineTimesPPFX,interaction
0,3.100098,12,0.4508474,0.5102292,1
1,0.67443895,12,0.6066144,0.48901355,0
2,1.3160481,12,1.1213754,0.96786046,0
3,2.3058906,12,0.76421654,0.76421654,2
4,2.3943474,12,0.78313816,1.030445,2
5,2.4972258,12,1.1462505,0.94988114,0
6,2.2351549,12,0.7438786,0.97878766,1
7,1.386461,12,0.9998428,0.8496299,0
8,1.0711312,12,0.7772298,0.6219896,0
9,1.8362122,12,0.79198223,0.87791336,2
10,1.2886188,12,1.0769991,0.9217905,0
11,0.77158225,-12,0.645833,0.55017227,0
12,0.9293899,-12,1.1005855,1.1005855,1
13,2.073091,12,0.9593686,0.9593686,1
14,0.8897602,12,1.1175194,1.0093242,10
15,2.9250085,-12,1.2539423,1.2539423,1
16,1.0932604,12,1.138908,0.9798353,0
17,1.3523536,-12,0.8160403,0.88549536,1
18,0.50403804,12,1.1663011,1.0483614,0
19,0.62802774,12,1.2004788,1.0339707,0
20,1.8741839,-12,5.2093954,1.0199074,10
21,0.38621598,12,1.2669319,1.027555,0
22,1.1409513,12,0.6872324,0.6872324,1
23,0.29462653,-12,1.0755898,1.0318248,0
24,1.5997016,12,1.0483191,1.1990477,1
25,3.3231761,12,0.78907377,0.78907377,2
26,1.3781066,12,1.7350333,1.7350333,2
27,2.5495672,12,1.2169663,1.2169663,1
28,5.2426815,12,1.016391,1.016391,2
29,3.1406999,12,0.88367194,0.7681816,0
30,1.547486,12,1.2575456,1.0523735,0
31,1.8048704,-12,0.74244124,0.6737323,0
32,0.7944018,12,1.5572733,1.5572733,1
33,0.7186248,12,0.701788,0.60949177,0
34,1.4691045,12,0.8896528,0.8896528,1
35,0.5327692,12,0.53797764,0.53797764,1
36,0.66476226,12,0.0007894641,0.7866747,10
37,0.8174663,12,1.189783,0.9870821,0
38,2.777596,12,1.0284814,1.0284814,1
39,1.0726826,12,0.85518986,0.71889555,0
40,1.1175916,12,0.91416013,0.91416013,1
41,1.7819474,12,0.89302224,1.0497891,2
42,0.7444744,12,0.81459516,0.81459516,1
43,1.5469235,12,0.97597176,1.0422374,1
44,0.99675494,-12,0.7399204,0.82491356,2
45,0.74374026,12,1.055365,0.9720808,0
46,1.7759664,-12,0.9880842,0.9880842,1
