entry,shr_energy_tot_cali,muon_e,NeutrinoEnergy2,category,CosmicIP,shr_hits_u_tot,trk_hits_max,trk_sce_start_x_v,trk_hits_u_tot,pi0_e,npi0,shrclusfrac2,trkshrhitdist0,pion_e,trk_sce_end_z_v,_opfilter_pe_veto,ccnc,secondshower_V_vtxdist,trk_energy_tot,shr_hits_tot,shr_tkfit_nhits_U,trk_sce_start_z_v,trk_hits_y_tot,nu_flashmatch_score,shr_px,trkshrhitdist2,true_nu_pz,CosmicIPAll3D,shr_dedx_U,shr_tkfit_gap10_nhits_U,secondshower_U_dot,nu_e,reco_nu_vtx_x,evt,sub,best_obviouscosmic_flashmatch_score,true_nu_vtx_x,n_tracks_contained,shr_dedx_Y,_opfilter_pe_beam,run,shr_start_y,shr_tkfit_2cm_dedx_Y,p,shrclusfrac1,shr_theta_v,tksh_angle,trk_len_v,trk_bkt_pdg,topological_score,trk_bkt_E,shr_tkfit_2cm_nhits_U,trk_start_y_v,secondshower_Y_nhit,shr_tkfit_gap10_nhits_Y,shr_tkfit_npointsvalid,secondshower_V_dir,shrclusfrac0,shr_phi_v,reco_nu_vtx_z,secondshower_U_nhit,shrclusdir0,shr_score,shr_energy,shr_dedx_V,reco_nu_vtx_sce_z,backtracked_pdg,shrmoliereavg,trk_start_x_v,shr_tkfit_2cm_nhits_V,secondshower_U_vtxdist,DeltaRMS2h,shr_phi,trk_end_z_v,shrclusdir2,shr_tkfit_nhits_Y,slpdg,shr_dedx_Y_cali,hits_ratio,trk_score,trkshrhitdist1,trk_start_z_v,evnunhits,hits_u,true_nu_vtx_z,nslice,shr_tkfit_dedx_Y,shrmoliererms,shrclusdir1,matched_E,shrsubclusters1,trk_energy,shr_tkfit_gap10_dedx_Y,shr_id,reco_nu_vtx_y,trk_phi_v,nproton,trk_sce_end_y_v,shr_tkfit_nhits_V,trk_id,true_e_visible,shr_tkfit_npoints,shr_start_z,hits_y,slnhits,hits_v,shr_tkfit_2cm_nhits_Y,secondshower_Y_dot,shr_tkfit_gap10_nhits_V,trk_hits_v_tot,pi0truth_elec_etot,trk_llr_pid_score_v,true_nu_vtx_y,trk_end_x_v,NeutrinoEnergy1,best_cosmic_flashmatch_score,CylFrac2h_1cm,shr_hits_v_tot,shr_hits_y_tot,shr_tkfit_gap10_dedx_V,secondshower_U_dir,CosmicDirAll3D,shrMCSMom,shr_bkt_pdg,trk_theta,reco_nu_vtx_sce_y,trk_theta_v,contained_fraction,shr_py,shr_energy_tot,trk_sce_end_x_v,trk_distance,shr_pz,interaction,nu_pdg,NeutrinoEnergy0,pt,shr_start_x,true_nu_px,shrsubclusters0,slnunhits,shr_bkt_E,shr_tkfit_dedx_V,secondshower_Y_dir,tksh_distance,shrsubclusters2,npion,mc_pdg,trk_end_y_v,trk_sce_start_y_v,shr_start_z_v,secondshower_V_nhit,trk_len,n_showers_contained,shr_tkfit_2cm_dedx_V,shr_energy_y_v,reco_nu_vtx_sce_x,selected,secondshower_Y_vtxdist,secondshower_V_dot,shr_start_x_v,trk_score_v,slclustfrac,true_nu_py,shr_theta,trk_phi,shrPCA1CMed_5cm,trk_hits_tot,shr_tkfit_dedx_U,shr_tkfit_gap10_dedx_U,shr_distance,shr_tkfit_2cm_dedx_U,trkpid,protonenergy,trackcaloenergy,subcluster,trkfit,anglediff_Y,anglediff_V,anglediff_U,trkthetacos,shr_trk_sce_start_x,shr_trk_sce_start_y,shr_trk_sce_start_z,shr_trk_sce_end_x,shr_trk_sce_end_y,shr_trk_sce_end_z,slclnhits,slclnunhits,shr_tkfit_nhits_tot,shr_tkfit_dedx_avg,shr_tkfit_2cm_nhits_tot,shr_tkfit_2cm_dedx_avg,shr_tkfit_gap10_nhits_tot,shr_tkfit_gap10_dedx_avg,shr_tkfit_dedx_max,reco_e,reco_e_qe,reco_e_rqe,bnbdata,extdata,is_signal,bkg_score,protontheta,protonphi,shr_trk_len,mevcm,n_tracks_tot,n_showers_tot,n_trks_gt10cm,n_trks_gt25cm,trk1_start_x_alltk,trk1_start_y_alltk,trk1_start_z_alltk,trk1_dir_x_alltk,trk1_dir_y_alltk,trk1_dir_z_alltk,tk1sh1_angle_alltk
781,0.7101134,0.0,922.77155,4,120.012184,280,0,[197.079],0,0.0,0,0.39455783,-1.0,0.0,[595.066],0.0,-2147483648,43.792473,0.0,1343,2,[519.962],0,1.8329179,0.38564095,-1.0,-3.4028235e+38,120.012184,0.45785314,1,0.91296613,-3.4028235e+38,200.17737,3537,70,22.778542,-3.4028235e+38,0,2.2063549,562.78937,4962,-19.295,1.6884481,0.73872805,0.6463158,[0.65],-3.4028235e+38,[110.566],0,0.6538457,-3.4028235e+38,2,[-19.373],3,3,257,62.72352,0.6035714,[0.531],519.93176,23,13.432968,0.042720325,0.73821723,1.2786669,519.8987,[],2.763583,[200.196],1,4.3342223,2.9977424,0.5313493,[595.067],56.82589,2,12,2.0935357,1.0,-3.4028235e+38,-1.0,[519.995],-2147483648,280,-3.4028235e+38,1,1.6884481,155.24107,51.929726,0.0,9,0.0,2.4879203,1,-19.359566,[0.478],0,[19.954],3,0,0.0,1343,520.0,588,1452,475,2,0.99435955,4,0,0.0,[0.95],-3.4028235e+38,[255.571],929.0882,17.67879,0.30246913,475,588,1.8625332,33.74683,0.14042714,211.57718,0,-3.4028235e+38,-18.796679,[0.667],1.0,0.22665313,0.73821723,[254.415],-3.4028235e+38,0.58790183,-2147483648,-2147483648,697.1909,0.44731486,200.1389,-3.4028235e+38,6,-2147483648,-3.4028235e+38,1.7785246,69.93999,557.5194,14,0,[],[18.175],[-18.812],[520.],3,-3.4028235e+38,1,1.3923489,[738.217],197.0599,1,66.355705,0.9953833,[200.139],[0.043],0.9249311,-3.4028235e+38,0.65041953,-3.4028235e+38,0.7603841,0,0.5382703,0.7600687,0.10151254,0.5382703,9999.0,9999.0,9999.0,29,0.1913626209977662,13.114098,10.793793,20.313862,0.853021,197.07877,-18.811916,519.9621,254.41481,19.954126,595.0656,1343,0,7,1.3984300919941492,5,1.169157123565674,8,1.9592453017830849,1.7785246,0.85555834,1.1029434,1.2891505,1.0,0.0,False,0.82931876,9999.0,9999.0,102.13112,6.952958,0,1,0,0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,99999.0
1193,0.5121278,0.0,603.52124,4,61.01393,298,0,[35.162],0,0.0,0,0.7399381,-1.0,0.0,[490.365],0.0,-2147483648,14.443999,0.0,1135,9,[446.614],0,3.6210809,0.0884179,-1.0,-3.4028235e+38,61.01393,1.3672131,8,0.8942916,-3.4028235e+38,36.19378,513,10,60.369858,-3.4028235e+38,0,2.548228,2957.8005,4962,-32.474094,2.0079598,0.48332775,0.36575875,[1.14],-3.4028235e+38,[125.748],0,0.07898172,-3.4028235e+38,5,[-32.307],8,4,208,140.22217,0.5033557,[1.368],446.1484,10,287.24332,0.00036423566,0.48281702,2.6699774,446.02405,[],5.0841384,[36.381],7,41.016323,3.6474426,1.3681053,[490.387],66.78978,5,12,2.5143914,1.0,-3.4028235e+38,-1.0,[446.739],-2147483648,298,-3.4028235e+38,1,2.1003456,918.29504,79.3437,0.0,12,0.0,2.406062,1,-32.824173,[1.415],0,[59.34],10,0,0.0,1135,447.07312,323,1254,514,3,0.78864634,6,0,0.0,[0.933],-3.4028235e+38,[56.124],540.8436,60.369858,0.15037593,514,323,1.7186117,267.34317,-0.6512346,132.52261,0,-3.4028235e+38,-32.482388,[1.293],1.0,0.4302299,0.48281702,[54.666],-3.4028235e+38,0.20171817,-2147483648,-2147483648,510.89673,0.43922144,36.40429,-3.4028235e+38,6,-2147483648,-3.4028235e+38,1.9481292,90.89779,449.7268,8,0,[],[59.653],[-31.966],[447.073],2,-3.4028235e+38,1,1.882928,[482.817],34.97989,1,124.42722,0.1304902,[36.404],[0.],0.9051037,-3.4028235e+38,1.1402661,-3.4028235e+38,0.76537263,0,1.9402043,1.9294922,1.0109223,1.859894,9999.0,9999.0,9999.0,26,0.18325991189427313,24.10801,60.87847,19.900146,0.853021,35.162094,-31.965685,446.61444,54.666367,59.339622,490.36526,1135,0,24,1.9768690913915634,15,1.9002563873926799,18,1.965103096432156,1.9481292,0.6170215,0.91081446,1.476147,1.0,0.0,False,0.87839234,9999.0,9999.0,103.107765,4.966918,0,1,0,0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,99999.0
1961,0.9627589,0.0,1193.4639,4,33.73226,443,0,[193.014],0,0.0,0,0.21428572,-1.0,0.0,[377.137],0.0,-2147483648,14.310007,0.0,1843,7,[211.89],0,2.9665678,0.10205072,-1.0,-3.4028235e+38,33.73226,2.1472604,6,0.872986,-3.4028235e+38,195.126,1147,22,15.25519,-3.4028235e+38,0,2.1182086,948.0586,6508,-46.488194,1.986951,0.955282,0.33392859,[0.107],-3.4028235e+38,[192.682],0,0.96877426,-3.4028235e+38,4,[-46.6],4,9,485,328.02582,0.40632054,[0.082],211.66252,7,77.562996,0.005323978,0.9547711,2.3107593,211.8536,[],2.9607112,[195.132],4,99.95312,6.44779,0.081852674,[377.266],83.86593,11,12,2.075518,1.0,-3.4028235e+38,-1.0,[211.699],-2147483648,443,-3.4028235e+38,1,1.986951,707.3578,78.08383,0.0,12,0.0,1.9995638,1,-46.634686,[0.134],0,[-49.319],6,0,0.0,1843,211.7,840,2144,560,5,0.7839642,4,0,0.0,[0.96],-3.4028235e+38,[219.446],1184.7648,15.25519,0.116618074,560,840,2.430746,282.0936,0.50389516,216.78003,0,-3.4028235e+38,-48.301235,[0.115],1.0,0.00837183,0.9547711,[217.392],-3.4028235e+38,0.9497785,-2147483648,-2147483648,789.77167,0.102393545,195.13142,-3.4028235e+38,15,-2147483648,-3.4028235e+38,2.1673853,120.61877,291.64072,19,0,[],[-46.093],[-48.263],[211.7],3,-3.4028235e+38,1,2.102774,[954.771],193.00768,1,106.29757,0.6862774,[195.131],[0.005],0.85960823,-3.4028235e+38,0.107393034,-3.4028235e+38,0.8879435,0,2.1121745,2.623174,0.15130654,1.9981453,9999.0,9999.0,9999.0,46,0.2631578947368421,36.75284,249.94199,204.53061,0.853021,193.01353,-48.263325,211.88998,217.39198,-49.318874,377.13666,1843,0,24,2.0685831060012183,13,2.0260332272602963,19,2.287268544498243,1.986951,1.1599505,1.1585118,0.9987596,1.0,0.0,False,0.89282435,9999.0,9999.0,167.03857,5.763692,0,1,0,0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,99999.0
1964,0.21776149,0.0,252.37576,4,111.433846,200,0,[116.749],0,0.0,0,0.75268817,-1.0,0.0,[694.306],0.0,-2147483648,105.24275,0.0,408,3,[657.735],0,11.938452,-0.11708951,-1.0,-3.4028235e+38,106.52654,0.746258,3,0.4911282,-3.4028235e+38,119.58598,1158,23,27.024757,-3.4028235e+38,0,1.8549594,1052.8802,5044,44.859013,1.8876271,0.20241097,0.54545456,[0.702],-3.4028235e+38,[47.235],0,0.28272778,-3.4028235e+38,3,[44.138],2,0,97,19.996933,0.295,[-2.682],657.70917,34,132.8806,0.023468578,0.20190062,1.7305802,657.6636,[],7.0577335,[119.374],0,110.36224,2.7605255,-2.6819026,[694.286],126.97029,2,12,1.7948862,1.0,-3.4028235e+38,-1.0,[657.78],-2147483648,200,-3.4028235e+38,1,1.8876271,2493.7231,157.48903,0.0,2,0.0,-0.009075957,1,44.72024,[-3.003],0,[31.495],0,0,0.0,408,658.418,186,1039,22,2,0.84300166,0,0,0.0,[0.857],-3.4028235e+38,[96.397],79.107254,27.024757,0.15126051,22,186,-3.4028235e+38,254.56104,0.03736454,71.13107,0,-3.4028235e+38,47.07353,[0.716],1.0,-0.05796665,0.20190062,[93.591],-3.4028235e+38,0.15459661,-2147483648,-2147483648,291.41708,0.13065255,119.15288,-3.4028235e+38,8,-2147483648,-3.4028235e+38,-3.4028235e+38,309.24237,670.6147,4,0,[],[31.199],[46.462],[658.418],37,-3.4028235e+38,1,-3.4028235e+38,[201.901],116.98831,1,135.48344,0.9348866,[119.153],[0.023],0.39268526,-3.4028235e+38,0.7016536,-3.4028235e+38,0.89111626,0,0.70293033,1.8120024,0.84221345,0.70293033,9999.0,9999.0,9999.0,14,0.23774509803921567,182.27208,137.4921,121.680435,0.853021,116.7488,46.462227,657.73517,93.59139,31.49458,694.3057,408,0,5,1.176809048652649,5,1.176809048652649,3,1.812002420425415,0.70293033,0.26236326,0.25912806,0.98766905,1.0,0.0,False,0.74642813,9999.0,9999.0,45.800674,4.7545476,0,1,0,0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,99999.0
3288,0.54533964,0.0,695.9095,4,48.596046,313,0,[150.201],0,0.0,0,0.784897,-1.0,0.0,[621.523],0.0,-2147483648,328.61322,0.0,932,10,[571.831],0,0.86183673,0.16563527,-1.0,-3.4028235e+38,48.596046,2.3623116,7,0.99033624,-3.4028235e+38,153.8442,6993,139,10.391228,-3.4028235e+38,0,1.9345046,664.08374,6605,-39.733177,1.3947182,0.55723834,0.7417582,[0.586],-3.4028235e+38,[71.402],0,0.74264175,-3.4028235e+38,6,[-39.804],12,6,180,264.94662,0.8402556,[-1.004],571.621,10,69.99681,0.0021018116,0.5567276,0.025547659,571.6779,[],7.527612,[153.891],1,162.86728,3.3631732,-1.0037944,[621.623],70.36875,4,12,1.8816776,1.0,-3.4028235e+38,-1.0,[571.774],-2147483648,313,-3.4028235e+38,1,2.1976416,292.13367,21.965675,0.0,5,0.0,2.0273483,1,-39.782,[-0.83],0,[-67.347],1,0,0.0,932,571.8,437,1510,182,1,0.89497244,0,0,0.0,[0.909],-3.4028235e+38,[172.781],556.7888,10.391228,0.057377048,182,437,-0.009301237,268.43167,-0.1386513,90.00207,0,-3.4028235e+38,-41.526546,[0.469],1.0,-0.2601274,0.5567276,[170.186],-3.4028235e+38,0.46412638,-2147483648,-2147483648,550.2699,0.30838498,153.90205,-3.4028235e+38,5,-2147483648,-3.4028235e+38,12.256312,267.06207,593.4811,8,0,[],[-62.965],[-41.549],[571.8],64,-3.4028235e+38,1,12.256312,[556.728],150.15353,1,567.0562,0.9951054,[153.902],[0.002],0.61721855,-3.4028235e+38,0.58646077,-3.4028235e+38,0.6922408,0,2.29647,2.2681181,0.19436696,2.3477252,9999.0,9999.0,9999.0,18,0.19313304721030042,196.69333,242.98096,198.43486,0.853021,150.20082,-41.54941,571.83057,170.18587,-67.34709,621.52264,932,0,15,2.9341052055358885,8,3.467172682285309,13,2.1569935908684363,2.29647,0.6570357,0.76178014,1.1594197,1.0,0.0,False,0.86233866,9999.0,9999.0,59.44935,9.173182,0,1,0,0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,99999.0
3951,0.9519776,0.0,1165.2867,4,68.92179,282,0,[ 1.320e+02 -3.403e+38],0,0.0,0,0.46321526,-1.0,0.0,[ 1.153e+02 -3.403e+38],0.0,-2147483648,83.33699,0.0,1684,1,[ 3.896e+01 -3.403e+38],0,6.36566,0.385725,-1.0,-3.4028235e+38,68.92179,2.0741053,0,0.20608447,-3.4028235e+38,132.49255,1221,24,20.652584,-3.4028235e+38,0,2.1211548,1758.5588,6410,42.366013,9.502013,0.9327402,0.6152695,[ 4.688e-01 -3.403e+38],-3.4028235e+38,[ 9.368e+01 -3.403e+38],0,0.8014541,-3.4028235e+38,1,[ 4.215e+01 -3.403e+38],7,0,208,11.963783,0.4113475,[-4.146e-01 -3.403e+38],40.031963,8,53.781796,0.018308716,0.9322294,1.8633986,38.233814,[],4.4922175,[ 1.328e+02 -3.403e+38],1,42.978176,5.6264243,-0.41462472,[ 1.167e+02 -3.403e+38],65.224785,4,12,2.212067,1.0,-3.4028235e+38,-1.0,[ 4.075e+01 -3.403e+38],-2147483648,287,-3.4028235e+38,1,9.502013,366.84076,35.663563,0.0,12,0.0,-0.009093209,1,41.934742,[-5.316e-01 -3.403e+38],0,[ 3.032e+01 -3.403e+38],3,0,0.0,1684,40.8,734,2160,674,4,0.9122515,3,0,0.0,[ 9.474e-01 -3.403e+38],-3.4028235e+38,[ 1.678e+02 -3.403e+38],1252.7826,9.091417,0.0072202166,668,734,2.896556,34.80311,-0.061754726,95.775955,0,-3.4028235e+38,43.36699,[ 4.842e-01 -3.403e+38],1.0,-0.16977325,0.9322294,[ 1.659e+02 -3.403e+38],-3.4028235e+38,0.8321043,-2147483648,-2147483648,573.1364,0.4214341,132.73378,-3.4028235e+38,6,-2147483648,-3.4028235e+38,2.311145,66.8163,145.18187,17,0,[],[ 2.722e+01 -3.403e+38],[ 4.360e+01 -3.403e+38],[ 4.080e+01 -3.403e+38],11,-3.4028235e+38,1,1.5298852,[ 9.322e+02 -3.403e+38],131.76189,1,207.46098,0.38457423,[ 1.327e+02 -3.403e+38],[ 0.018 -1.   ],0.7847222,-3.4028235e+38,0.4688085,-3.4028235e+38,0.7406473,0,3.7653048,-0.008656646,0.9132708,3.7653048,9999.0,9999.0,9999.0,35,0.12351543942992874,1.5915146,23.69978,18.978687,0.853021,132.00743,43.603905,38.959225,165.9259,30.323288,115.336555,1695,0,8,6.088349103927612,6,7.217207133769989,3,2.8965559005737305,9.502013,1.146961,1.2897992,1.1245363,1.0,0.0,False,0.76263314,9999.0,9999.0,84.61876,11.2501955,0,2,0,0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,99999.0
4035,0.50377417,0.0,648.6449,4,139.7563,382,0,[85.38],0,0.0,0,0.25925925,-1.0,0.0,[942.589],0.0,-2147483648,67.039185,0.0,1036,8,[898.724],0,3.2847824,0.40157714,-1.0,-3.4028235e+38,139.38966,2.6625056,8,0.7993129,-3.4028235e+38,87.27367,2317,46,26.21269,-3.4028235e+38,0,2.347974,1693.6187,6625,31.280886,2.2555025,0.51942664,0.5030303,[1.23],-3.4028235e+38,[150.586],0,0.18068115,-3.4028235e+38,4,[31.224],8,4,120,325.3623,0.40575916,[-0.609],898.2181,5,39.271732,0.00021010259,0.5189159,2.103299,898.7653,[],2.856526,[87.255],3,212.14204,6.7885523,-0.60874647,[940.578],23.471992,5,12,2.4757195,1.0,-3.4028235e+38,-1.0,[898.177],-2147483648,382,-3.4028235e+38,1,2.1992939,216.53671,338.9232,0.0,11,0.0,1.9924737,1,31.174923,[-0.589],0,[-59.942],5,0,0.0,1036,898.2,324,1163,330,3,0.9499764,4,0,0.0,[0.905],-3.4028235e+38,[180.525],580.7801,26.21269,0.035545025,330,324,2.6428337,38.8928,0.5156133,154.29724,0,-3.4028235e+38,31.24643,[1.226],1.0,-0.27992123,0.5189159,[178.42],-3.4028235e+38,0.1737353,-2147483648,-2147483648,628.5407,0.48951006,87.28987,-3.4028235e+38,11,-2147483648,-3.4028235e+38,2.5082867,21.679,902.9736,10,0,[],[-57.666],[31.293],[898.2],3,-3.4028235e+38,1,2.2841473,[518.916],85.398544,1,152.97987,0.9436499,[87.29],[0.],0.89079964,-3.4028235e+38,1.2297481,-3.4028235e+38,0.8837053,0,1.9901937,2.30577,0.108706474,2.1752295,9999.0,9999.0,9999.0,32,0.11583011583011583,1.7929916,13.560883,0.37893295,0.853021,85.37974,31.293327,898.7236,178.41985,-59.942364,942.589,1036,0,18,2.192191812727186,10,2.231986737251282,16,2.3117118179798126,1.9901937,0.60695684,1.1236286,1.8512496,1.0,0.0,False,0.9484672,9999.0,9999.0,137.49394,3.6639736,0,1,0,0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,99999.0
4117,0.43479994,0.0,583.22253,4,46.049465,209,0,[195.684],0,0.0,0,0.3929471,-1.0,0.0,[318.386],0.0,-2147483648,124.83797,0.0,1034,1,[250.072],0,5.348003,-0.14650802,-1.0,-3.4028235e+38,46.049465,0.3756773,1,0.8536839,-3.4028235e+38,198.19243,3148,62,21.032299,-3.4028235e+38,0,2.1113238,677.46857,5044,-15.657688,1.922672,0.46708876,0.23831776,[0.762],-3.4028235e+38,[103.228],0,0.6630742,-3.4028235e+38,1,[-15.656],4,9,352,200.48553,0.71291864,[2.043],249.89157,35,206.63893,0.002916856,0.46657804,2.2344058,250.29314,[],3.4297004,[198.321],6,50.810886,3.935335,2.0425098,[318.337],113.283905,10,12,2.0752983,1.0,-3.4028235e+38,-1.0,[249.672],-2147483648,209,-3.4028235e+38,1,1.9032681,2885.3818,109.23904,0.0,16,0.0,1.9912589,1,-15.510901,[2.075],0,[42.086],12,0,0.0,1034,249.90001,397,1396,428,5,0.99847317,12,0,0.0,[0.925],-3.4028235e+38,[161.205],546.595,21.032299,0.07119741,428,397,1.9951385,53.09953,-0.68730235,168.29152,0,-3.4028235e+38,-14.33826,[0.719],1.0,0.28720123,0.46657804,[158.528],-3.4028235e+38,0.3379686,-2147483648,-2147483648,497.27274,0.32241145,198.31705,-3.4028235e+38,8,-2147483648,-3.4028235e+38,2.0062141,239.84962,319.41327,9,0,[],[37.903],[-14.502],[249.9],5,-3.4028235e+38,1,1.9523782,[466.578],195.55136,1,232.85501,0.71975005,[198.317],[0.003],0.74068767,-3.4028235e+38,0.7618447,-3.4028235e+38,0.81809175,0,0.7260369,1.0456147,0.19273637,0.7260369,9999.0,9999.0,9999.0,33,0.3404255319148936,126.56572,91.2465,153.5394,0.853021,195.68427,-14.5015745,250.07196,158.52827,42.086132,318.3856,1034,0,23,1.905795112900112,12,1.8378054996331532,22,1.9503912167115645,2.0062141,0.5238554,0.6737631,1.2861624,1.0,0.0,False,0.8868309,9999.0,9999.0,96.17426,4.5209594,0,1,0,0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,99999.0
4351,1.8757026,0.0,1882.4354,4,132.99956,538,0,[202.1],0,0.0,0,0.83599573,-1.0,0.0,[999.603],0.0,-2147483648,156.32129,0.0,2176,3,[906.519],0,1.0024135,0.73758936,-1.0,-3.4028235e+38,132.14894,2.2722378,3,0.956648,-3.4028235e+38,203.53238,2271,45,38.919525,-3.4028235e+38,0,2.0917773,778.33105,6639,-89.09664,1.890329,1.5064592,0.8669528,[0.524],-3.4028235e+38,[120.753],0,0.52557105,-3.4028235e+38,1,[-89.086],2,11,423,278.4632,0.5613383,[0.211],905.86536,5,34.537605,0.0011123782,1.5059484,2.1937687,906.6711,[],4.2976384,[203.43],4,110.39941,5.1615505,0.21061233,[996.681],60.505615,11,12,2.0581243,1.0,-3.4028235e+38,-1.0,[905.716],-2147483648,538,-3.4028235e+38,1,1.8692939,1281.6343,46.846855,0.0,8,0.0,1.9272616,1,-89.04248,[0.252],0,[-79.172],6,0,0.0,2176,905.9,939,2354,699,6,0.9964987,5,0,0.0,[0.97],-3.4028235e+38,[252.806],1631.7245,32.150345,0.13384813,699,939,1.8145247,270.73044,-0.23239411,136.94806,0,-3.4028235e+38,-96.43972,[0.558],1.0,0.15768383,1.5059484,[252.39],-3.4028235e+38,1.3040389,-2147483648,-2147483648,1433.6459,0.7542561,203.5514,-3.4028235e+38,19,-2147483648,-3.4028235e+38,1.6983131,265.11377,932.75195,13,0,[],[-76.677],[-96.492],[905.9],44,-3.4028235e+38,1,1.8513763,[1505.948],202.20135,1,128.4834,0.99898493,[203.551],[0.001],0.924384,-3.4028235e+38,0.52438575,-3.4028235e+38,0.65463763,0,1.9498217,2.206771,0.06706224,0.43276438,9999.0,9999.0,9999.0,40,0.19439338235294118,204.60815,231.61633,236.19284,0.853021,202.09988,-96.49182,906.5189,252.38988,-79.1715,999.60345,2176,0,20,1.8300788521766662,11,1.7436585074121302,19,1.9417270233756618,1.8692939,2.2598827,2.4515944,1.0848325,1.0,0.0,False,0.9227078,9999.0,9999.0,107.209175,17.49573,0,1,0,0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,99999.0
5166,0.458472,0.0,569.7396,4,51.77526,235,0,[214.051],0,0.0,0,0.36789298,-1.0,0.0,[846.358],51.84554,-2147483648,98.893486,0.0,882,3,[788.239],0,2.5343792,0.24304621,-1.0,-3.4028235e+38,49.596893,0.12605588,2,0.608712,-3.4028235e+38,216.10344,98,1,13.362376,-3.4028235e+38,0,2.0288332,217.60709,5964,62.457798,2.0142796,0.4563024,0.92241377,[0.682],-3.4028235e+38,[79.175],0,0.33495268,-3.4028235e+38,1,[62.49],12,10,283,211.54199,0.68085104,[0.564],787.69916,15,11.694527,0.010782935,0.45579168,2.009892,787.91534,[],2.632803,[216.253],5,134.70992,1.9460682,0.5636213,[846.156],56.147583,11,12,1.9397985,1.0,-3.4028235e+38,-1.0,[788.023],-2147483648,235,-3.4028235e+38,1,2.0158675,261.81595,52.349564,0.0,3,0.0,2.4290142,1,62.44504,[0.611],0,[95.374],10,0,0.0,882,788.19995,299,1349,348,6,0.6240701,9,0,0.0,[0.923],-3.4028235e+38,[255.629],691.6606,13.362376,0.34760705,348,299,2.6599352,145.86017,-0.045913417,201.5069,0,-3.4028235e+38,67.800064,[0.675],1.0,0.1536066,0.45579168,[254.818],-3.4028235e+38,0.3543239,-2147483648,-2147483648,443.4332,0.28751773,216.02188,-3.4028235e+38,4,-2147483648,-3.4028235e+38,2.214869,224.79477,819.64966,3,0,[],[86.359],[67.854],[788.2],13,-3.4028235e+38,1,2.0734785,[455.792],213.89691,1,157.8441,0.6929867,[216.022],[0.011],0.65381765,-3.4028235e+38,0.68168646,-3.4028235e+38,0.7363998,0,0.45955735,0.94048434,0.50755155,0.45955735,9999.0,9999.0,9999.0,10,0.32086167800453513,168.64719,159.19243,134.16565,0.853021,214.05054,67.85426,788.239,254.81848,95.374405,846.3579,882,0,24,1.9042460198203723,12,1.9093856066465378,21,2.386215613001869,2.0158675,0.5523759,0.63181317,1.1438102,1.0,0.0,False,0.8213139,9999.0,9999.0,76.139275,6.021492,0,1,0,0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,99999.0
