entry,shrsubclusters1,shrclusdir1,trk_len,topological_score,shr_tkfit_2cm_dedx_V,sub,shr_start_z,trk_end_z_v,trk_start_x_v,trk_start_y_v,backtracked_pdg,nslice,trk_score,nu_e,trkshrhitdist0,trk_theta_v,shrclusfrac0,shr_score,_opfilter_pe_veto,shr_dedx_Y,shr_tkfit_nhits_U,contained_fraction,trk_energy_tot,p,hits_v,secondshower_U_dir,selected,secondshower_Y_vtxdist,trk_sce_start_y_v,shr_dedx_V,ccnc,shr_tkfit_dedx_Y,shr_pz,true_nu_vtx_x,shr_px,shrPCA1CMed_5cm,shr_bkt_E,trk_end_y_v,shr_energy_tot,shr_theta,trk_id,trk_len_v,shr_tkfit_2cm_nhits_V,secondshower_U_nhit,nproton,shr_bkt_pdg,n_showers_contained,shrmoliererms,muon_e,best_cosmic_flashmatch_score,shrmoliereavg,shr_tkfit_dedx_U,secondshower_Y_dir,CosmicIP,reco_nu_vtx_x,secondshower_V_dir,nu_pdg,best_obviouscosmic_flashmatch_score,shrclusfrac2,shrsubclusters2,pi0truth_elec_etot,CosmicDirAll3D,shrclusfrac1,evt,shr_tkfit_npoints,reco_nu_vtx_sce_y,slnhits,shr_tkfit_gap10_dedx_Y,shr_dedx_Y_cali,shr_start_y,trk_sce_start_z_v,trk_phi_v,shr_tkfit_nhits_Y,category,tksh_angle,shr_theta_v,shr_tkfit_2cm_nhits_U,trk_hits_u_tot,true_nu_vtx_z,run,shr_tkfit_gap10_dedx_V,hits_y,shrclusdir2,trk_end_x_v,hits_u,npi0,trk_sce_end_x_v,shr_tkfit_2cm_dedx_Y,shr_start_z_v,interaction,shrMCSMom,trk_hits_tot,shr_tkfit_nhits_V,shrclusdir0,slnunhits,hits_ratio,trkshrhitdist2,secondshower_V_dot,reco_nu_vtx_sce_x,secondshower_Y_nhit,shr_tkfit_npointsvalid,CylFrac2h_1cm,trk_sce_start_x_v,secondshower_U_dot,n_tracks_contained,shr_dedx_U,shr_tkfit_2cm_dedx_U,secondshower_V_nhit,trk_energy,true_e_visible,shr_tkfit_gap10_dedx_U,shr_energy_tot_cali,true_nu_px,shr_tkfit_gap10_nhits_Y,trk_llr_pid_score_v,CosmicIPAll3D,secondshower_V_vtxdist,matched_E,reco_nu_vtx_sce_z,shr_tkfit_dedx_V,secondshower_U_vtxdist,trk_phi,slpdg,trk_start_z_v,trk_distance,shr_hits_v_tot,shr_hits_y_tot,shrsubclusters0,nu_flashmatch_score,NeutrinoEnergy1,pt,pion_e,shr_energy_y_v,reco_nu_vtx_y,trkshrhitdist1,shr_id,shr_tkfit_gap10_nhits_V,trk_hits_max,shr_distance,NeutrinoEnergy2,pi0_e,shr_tkfit_gap10_nhits_U,true_nu_py,trk_score_v,shr_phi_v,slclustfrac,reco_nu_vtx_z,trk_sce_end_y_v,shr_energy,trk_bkt_pdg,mc_pdg,evnunhits,secondshower_Y_dot,shr_hits_tot,shr_tkfit_2cm_nhits_Y,tksh_distance,shr_py,shr_start_x,_opfilter_pe_beam,shr_phi,trk_hits_y_tot,NeutrinoEnergy0,npion,shr_hits_u_tot,trk_hits_v_tot,trk_sce_end_z_v,true_nu_pz,shr_start_x_v,trk_theta,true_nu_vtx_y,DeltaRMS2h,trk_bkt_E,shr_numi_Angle,trkpid,protonenergy,trackcaloenergy,subcluster,trkfit,anglediff_Y,anglediff_V,anglediff_U,trkthetacos,shr_trk_sce_start_x,shr_trk_sce_start_y,shr_trk_sce_start_z,shr_trk_sce_end_x,shr_trk_sce_end_y,shr_trk_sce_end_z,slclnhits,slclnunhits,shr_tkfit_nhits_tot,shr_tkfit_dedx_avg,shr_tkfit_2cm_nhits_tot,shr_tkfit_2cm_dedx_avg,shr_tkfit_gap10_nhits_tot,shr_tkfit_gap10_dedx_avg,shr_tkfit_dedx_max,reco_e,reco_e_qe,reco_e_rqe,bnbdata,extdata,is_signal,bkg_score,protontheta,protonphi,shr_trk_len,mevcm,n_tracks_tot,n_showers_tot,n_trks_gt10cm,n_trks_gt25cm,trk1_start_x_alltk,trk1_start_y_alltk,trk1_start_z_alltk,trk1_dir_x_alltk,trk1_dir_y_alltk,trk1_dir_z_alltk,tk1sh1_angle_alltk
179,8,178.29,-3.4028235e+38,0.53507966,2.1098866,130,664.54254,[715.65],[226.925],[-26.86],[],1,-3.4028235e+38,-3.4028235e+38,-1.0,[0.887],0.6870968,0.004292528,0.0,2.0254316,7,1.0,0.0,0.3331277,237,148.0605,1,152.60692,[-28.831],0.027789816,-2147483648,1.8876449,0.24981672,-3.4028235e+38,-0.17754167,0.857812,-3.4028235e+38,[-51.128],0.3326171,0.7228662,0,[67.87],3,25,0,0,1,225.31548,0.0,3.1399224,3.2425783,4.2309227,126.87724,123.92249,226.94759,222.284,-2147483648,3.1399224,0.93697476,2,0.0,0.6327859,0.5822785,6547,785,-28.830791,909,1.8876449,1.9143977,-26.775974,[664.633],[-2.462],7,4,-3.4028235e+38,[0.723],4,0,-3.4028235e+38,16160,5.5707045,238,125.42698,[193.453],310,0,[191.099],1.9120656,[664.543],-2147483648,127.681335,0,3,126.946304,-2147483648,1.0,-1.0,0.9997188,224.94125,2,115,0.13387978,[224.919],0.51004815,0,0.85210675,4.786747,6,0.0,0.0,4.184239,0.3129375,-3.4028235e+38,7,[0.931],123.040695,33.915672,0.0,664.2586,2.1098866,136.41191,-3.4028235e+38,12,[664.632],-3.4028235e+38,237,238,7,2.5611672,466.6686,0.22037622,0.0,[332.617],-26.859385,-1.0,1,2,0,0.36843345,415.77136,0.0,6,-3.4028235e+38,[0.004],[-2.508],0.86358637,664.25824,[-54.196],0.3326171,0,[],-2147483648,0.7591572,785,3,702.6661,-0.13055511,226.72859,217.6958,-2.5075343,0,555.1661,0,310,0,[715.669],-3.4028235e+38,[226.729],-3.4028235e+38,-3.4028235e+38,2.7665765,-3.4028235e+38,59.65543002942414,9999.0,9999.0,9999.0,17,0.1464968152866242,1.450264,43.994003,21.114197,0.853021,224.91866,-28.831299,664.63257,191.09868,-54.1962,715.6691,785,0,17,2.891743120025186,10,3.121284472942352,15,3.297357106208801,1.8876449,0.37703314,0.4486832,1.1900365,1.0,0.0,False,0.7525005,9999.0,9999.0,66.27141,4.7220592,0,1,0,0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,99999.0
208,4,102.570564,-3.4028235e+38,0.19454922,2.0091434,245,519.39996,[539.532],[178.506],[-22.65],[],1,-3.4028235e+38,-3.4028235e+38,-1.0,[1.061],0.5855856,0.04111648,0.0,2.0786965,6,1.0,0.0,0.16715847,110,78.31312,1,52.009632,[-21.74],2.5879636,-2147483648,1.9369072,0.09321213,-3.4028235e+38,-0.037440743,0.9643707,-3.4028235e+38,[2.766],0.16664825,0.97927165,0,[36.538],4,7,0,0,1,290.33533,0.0,6.627325,5.9391913,2.3266904,136.45291,107.09691,178.44731,56.435745,-2147483648,6.7536554,0.46728972,5,0.0,-0.7043731,0.6363636,12264,328,-22.34627,364,2.0633972,1.9953809,-22.759102,[519.274],[1.948],4,4,-3.4028235e+38,[0.979],3,0,-3.4028235e+38,16551,1.676031,107,107.96314,[173.305],111,0,[169.425],2.054532,[519.4],-2147483648,61.903748,0,9,241.3569,-2147483648,1.0,-1.0,0.8479986,174.41353,4,153,0.17213115,[174.471],0.99381095,0,1.221634,2.945773,2,0.0,0.0,0.98354024,0.1592708,-3.4028235e+38,3,[0.518],107.09691,10.14322,0.0,518.5932,2.040867,45.23181,-3.4028235e+38,12,[519.296],-3.4028235e+38,110,107,5,2.3633432,142.34357,0.13875681,0.0,[166.648],-23.192732,-1.0,1,7,0,0.8993954,208.3103,0.0,6,-3.4028235e+38,[0.041],[1.844],0.9010989,518.6129,[5.959],0.16664825,0,[],-2147483648,0.9749421,328,3,549.65826,0.13361004,178.40947,84.05583,1.8440127,0,195.7121,0,111,0,[539.441],-3.4028235e+38,[178.409],-3.4028235e+38,-3.4028235e+38,1.8716625,-3.4028235e+38,67.7325843905765,9999.0,9999.0,9999.0,14,0.46646341463414637,28.489769,46.13482,163.0438,0.853021,174.47144,-21.739689,519.2742,169.42548,5.95857,539.44147,328,0,19,2.1092407954366585,10,2.3037488222122193,16,1.4889781177043915,2.040867,0.19189252,0.22178175,1.1557603,1.0,0.0,False,0.8769332,9999.0,9999.0,34.631996,4.5989494,0,1,0,0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,99999.0
416,9,71.35135,-3.4028235e+38,0.988533,5.500995,220,304.19998,[391.45],[202.384],[16.21],[],1,-3.4028235e+38,-3.4028235e+38,-1.0,[0.475],0.89492756,0.0050136317,0.0,9.440156,1,1.0,0.0,0.77785295,530,247.9529,1,588.47296,[19.543],6.497471,-2147483648,8.870502,0.7177058,-3.4028235e+38,0.18537867,0.88199824,-3.4028235e+38,[62.48],0.77734214,0.39583373,0,[126.219],4,3,0,0,1,3924.4985,0.0,21.505308,4.315926,0.12708513,105.068436,94.82513,202.34425,84.11474,-2147483648,21.505308,0.7646048,12,0.0,-0.19151315,0.40377358,11006,1388,21.00111,1774,8.650005,9.297385,16.73166,[303.628],[1.319],12,4,-3.4028235e+38,[0.396],1,0,-3.4028235e+38,14270,6.1706753,582,75.52502,[223.219],276,0,[221.38],9.066081,[304.2],-2147483648,162.41185,0,9,39.435772,-2147483648,1.0,-1.0,0.99106675,199.8623,12,328,0.07692308,[199.891],0.98225904,0,0.19215916,0.12708513,6,0.0,0.0,-0.008627025,0.7470316,-3.4028235e+38,12,[0.942],94.82513,342.57047,0.0,303.70706,6.744203,173.91823,-3.4028235e+38,12,[303.431],-3.4028235e+38,530,582,2,2.676132,818.805,0.29992267,0.0,[777.342],17.582146,-1.0,1,10,0,1.100577,971.6776,0.0,0,-3.4028235e+38,[0.005],[0.904],0.78241265,303.522,[67.098],0.77734214,0,[],-2147483648,0.7379754,1388,6,365.8263,0.23577182,202.51245,332.84952,0.90448785,0,769.76776,0,276,0,[391.08],-3.4028235e+38,[202.512],-3.4028235e+38,-3.4028235e+38,4.130892,-3.4028235e+38,22.583894569567825,9999.0,9999.0,9999.0,23,0.23631123919308358,29.543419,12.76339,208.51712,0.853021,199.89116,19.542522,303.62845,221.37953,67.098,391.08026,1388,0,22,7.603224664249203,11,6.957050186666575,22,7.5230371301824395,8.870502,0.9000381,1.0149139,1.1276344,1.0,0.0,False,0.73707867,9999.0,9999.0,101.83856,7.335449,0,1,0,0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,99999.0
485,4,18.919228,-3.4028235e+38,0.7879448,2.450463,9,490.1,[559.325],[163.176],[-46.259],[],1,-3.4028235e+38,-3.4028235e+38,-1.0,[0.82],0.44025156,0.0024438272,0.0,2.2885723,5,1.0,0.0,0.6441489,252,44.939816,1,100.94847,[-49.146],0.47312745,-2147483648,1.8832517,0.4445326,-3.4028235e+38,0.45993993,0.7206414,-3.4028235e+38,[-52.014],0.64363813,0.80915743,0,[99.836],2,7,0,0,1,338.08762,0.0,6.062154,3.1079068,1.8230845,53.767223,28.429897,163.13417,341.18338,-2147483648,7.4701276,0.4793578,6,0.0,0.5096759,0.5119048,480,1006,-49.330772,1136,1.9858601,2.1731133,-46.14177,[490.147],[-0.17],9,4,-3.4028235e+38,[0.809],3,0,-3.4028235e+38,14122,2.3345397,436,44.304226,[223.552],318,0,[221.542],1.8819193,[490.1],-2147483648,165.76846,0,4,31.976933,-2147483648,1.0,-1.0,0.59509903,159.49374,18,130,0.30590716,[159.531],0.9863853,0,1.9195313,1.5340074,8,0.0,0.0,1.9471872,0.6327885,-3.4028235e+38,8,[0.922],28.429897,29.137964,0.0,489.93463,2.3979328,101.02344,-3.4028235e+38,12,[490.007],-3.4028235e+38,252,436,5,3.566381,535.305,0.46617442,0.0,[643.638],-46.425037,-1.0,1,4,0,0.41875815,804.5476,0.0,5,-3.4028235e+38,[0.002],[-0.164],0.8855634,489.7941,[-56.64],0.64363813,0,[],-2147483648,0.9605906,1006,4,518.5818,-0.07598581,163.09496,232.01868,-0.16372922,0,675.00903,0,318,0,[559.21],-3.4028235e+38,[163.095],-3.4028235e+38,-3.4028235e+38,2.8986418,-3.4028235e+38,23.213546291540606,9999.0,9999.0,9999.0,15,0.12922465208747516,9.462997,322.26416,12.962883,0.853021,159.53105,-49.145844,490.14743,221.54247,-56.640015,559.2104,1006,0,18,1.9809121357070074,9,1.892291718059116,17,2.0565279652090633,1.8832517,0.7623958,1.0425684,1.3674898,1.0,0.0,False,0.7260943,9999.0,9999.0,93.11965,6.795434,0,1,0,0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,99999.0
525,7,15.732353,-3.4028235e+38,0.795526,0.70718,187,874.5802,[968.568],[103.68],[10.785],[],1,-3.4028235e+38,-3.4028235e+38,-1.0,[0.612],0.5943775,0.000838769,0.0,2.1296213,8,1.0,0.0,0.6924268,363,43.66477,1,93.05836,[11.616],0.26542684,-2147483648,1.957294,0.5725459,-3.4028235e+38,0.29641965,0.82084906,-3.4028235e+38,[-32.055],0.691916,0.5972799,0,[124.495],2,10,0,0,1,146.07414,0.0,48.876614,2.9138389,2.052512,263.5547,136.16066,103.88115,304.93454,-2147483648,48.876614,0.53069305,13,0.0,-0.6163106,0.6170799,9355,1366,11.785541,1508,2.2126088,2.2476373,11.004453,[875.431],[-0.595],9,4,-3.4028235e+38,[0.597],5,0,-3.4028235e+38,14556,0.6384887,505,62.485023,[145.645],498,0,[143.913],2.0482187,[874.58],-2147483648,239.67747,0,3,59.390877,-2147483648,1.0,-1.0,0.8597536,101.884575,3,246,0.24213076,[101.686],0.9119428,0,2.15554,1.6966476,6,0.0,0.0,2.052512,0.67808414,-3.4028235e+38,9,[0.947],136.16066,85.449745,0.0,875.2994,0.35494936,70.93716,-3.4028235e+38,12,[874.669],-3.4028235e+38,363,505,11,2.2010233,747.8867,0.38941765,0.0,[691.916],10.952828,-1.0,1,2,0,0.18204196,864.89496,0.0,8,-3.4028235e+38,[0.001],[-0.706],0.90583557,874.5355,[-32.864],0.691916,0,[],-2147483648,0.8550478,1366,6,880.81665,-0.25254998,104.049904,948.6661,-0.7056549,0,773.5804,0,498,0,[970.239],-3.4028235e+38,[104.05],-3.4028235e+38,-3.4028235e+38,3.1835144,-3.4028235e+38,18.552839988357572,9999.0,9999.0,9999.0,31,0.1800878477306003,201.06967,289.20218,15.726109,0.853021,101.6861,11.615881,875.4308,143.91339,-32.86436,970.2388,1366,0,20,1.7550294697284698,13,1.7066854330209584,19,1.979502746933385,1.957294,0.81696886,0.9852291,1.2059567,1.0,0.0,False,0.89874554,9999.0,9999.0,112.91674,6.005169,0,1,0,0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,99999.0
563,23,55.21596,-3.4028235e+38,0.05665169,7.12792,33,381.24158,[514.881 382.714],[175.45  175.021],[-87.202 -89.87 ],[],1,-3.4028235e+38,-3.4028235e+38,-1.0,[0.536 0.63 ],0.8503135,0.042880032,0.0,2.8426325,3,1.0,0.0,2.278559,1130,335.38126,1,95.19231,[-93.131 -96.041],7.1895304,-2147483648,1.921947,1.9996641,-3.4028235e+38,0.98183835,0.82909703,-3.4028235e+38,[-62.759 -90.682],2.278048,0.499963,0,[170.681   1.427],5,49,0,0,1,305.761,0.0,36.580433,1.5058045,0.46939054,57.052444,75.85509,175.7265,171.63031,-2147483648,36.580433,0.6566553,20,0.0,-0.023561845,0.63087845,1655,3868,-92.90668,4757,1.8910408,2.720175,-87.176636,[381.111 381.559],[ 0.564 -1.573],11,4,-3.4028235e+38,[ 5.000e-01 -3.403e+38],2,0,-3.4028235e+38,15516,1.8750724,1471,63.888885,[245.73 175.02],1276,0,[244.952 173.514],2.5338914,[ 3.812e+02 -3.403e+38],-2147483648,523.76953,0,8,27.931885,-2147483648,1.0,-1.0,0.13608164,174.10573,31,376,0.36967212,[173.841 173.496],0.52631384,0,1.4092531,0.4171046,43,0.0,0.0,0.46282557,2.2916265,-3.4028235e+38,11,[0.968 0.046],71.90504,79.411156,0.0,381.5731,3.430043,79.049995,-3.4028235e+38,12,[381.163 381.601],-3.4028235e+38,1127,1465,16,7.3317947,2768.0173,1.0923253,0.0,[ 2.278e+03 -3.403e+38],-86.979706,-1.0,1,7,0,0.49385417,2847.56,0.0,2,-3.4028235e+38,[0.043 0.27 ],[ 4.537e-01 -3.403e+38],0.8150095,381.62732,[-69.112 -96.934],2.278048,0,[],-2147483648,0.91444296,3868,5,428.65063,0.47871512,175.4892,1120.0619,0.45365444,0,3185.8853,0,1276,0,[514.825 382.672],-3.4028235e+38,[ 1.755e+02 -3.403e+38],-3.4028235e+38,-3.4028235e+38,2.4403706,-3.4028235e+38,15.806880765311295,9999.0,9999.0,9999.0,59,0.09720785935884178,6.836441,116.41435,307.44937,0.853021,173.84074,-93.130974,381.1113,244.9521,-69.11179,514.82544,3877,0,22,2.2722696594216605,12,4.095272262891133,20,1.7426303237676621,1.921947,2.7609959,4.2761188,1.5487596,1.0,0.0,False,0.84113985,9999.0,9999.0,153.34021,14.944719,0,2,0,0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,99999.0
686,11,100.36846,-3.4028235e+38,0.93735534,2.4071496,28,175.07239,[299.92  175.457],[17.149 16.344],[-24.558 -23.018],[],1,-3.4028235e+38,-3.4028235e+38,-1.0,[0.193 1.657],0.88324875,0.06814015,0.0,2.2875981,6,1.0,0.0,0.80919236,565,79.714355,1,118.05103,[-24.554 -23.015],1.9399836,-2147483648,2.0552497,0.7970801,-3.4028235e+38,-0.09034183,0.8413649,-3.4028235e+38,[ 19.547 -24.585],0.80868155,0.17323847,0,[139.957   2.096],2,8,0,0,1,382.65768,0.0,220.36409,7.461072,4.910127,87.68644,118.3843,17.132181,96.98217,-2147483648,220.36409,0.84375,6,0.0,0.47551322,0.6809269,1442,1723,-24.659128,1953,2.000857,2.258414,-24.567322,[175.179 175.685],[ 2.222 -2.309],13,4,-3.4028235e+38,[ 1.732e-01 -3.403e+38],2,0,-3.4028235e+38,16184,0.8587196,771,96.43701,[ 5.259 14.919],394,0,[ 4.986 14.412],2.2113657,[ 1.751e+02 -3.403e+38],-2147483648,206.97148,0,4,112.218445,-2147483648,1.0,-1.0,0.873505,16.555643,7,278,0.024253732,[16.572 15.792],0.6625126,0,1.3075756,2.082544,10,0.0,0.0,6.261547,0.8039292,-3.4028235e+38,10,[0.96  0.082],101.04913,102.971405,0.0,175.11725,1.5196204,26.978943,-3.4028235e+38,12,[175.132 175.639],-3.4028235e+38,561,768,6,10.6664915,893.79724,0.13948311,0.0,[ 8.087e+02 -3.403e+38],-24.663862,-1.0,1,4,0,0.0994272,1010.85187,0.0,6,-3.4028235e+38,[ 0.068 -1.   ],[ 2.275e+00 -3.403e+38],0.8858167,175.07056,[ 19.586 -24.581],0.80868155,0,[],-2147483648,0.8462649,1723,7,177.61818,0.10627273,17.155895,4584.485,2.275345,0,895.486,0,394,0,[299.919 175.496],-3.4028235e+38,[ 1.716e+01 -3.403e+38],-3.4028235e+38,-3.4028235e+38,5.1379213,-3.4028235e+38,31.28228444080461,9999.0,9999.0,9999.0,23,0.16134648868253046,8.750572,3.3862915,32.50409,0.853021,16.571526,-24.553589,175.17902,4.985546,19.585947,299.9194,1730,0,23,2.7068474189094873,11,2.2235406528819692,20,3.0506366014480593,2.0552497,0.9685894,0.9897029,1.0217981,1.0,0.0,False,0.75735897,9999.0,9999.0,132.82582,6.052507,0,2,0,0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,99999.0
690,6,207.31316,-3.4028235e+38,0.40723082,1.428248,38,188.1,[238.891],[184.614],[-35.345],[],1,-3.4028235e+38,-3.4028235e+38,-1.0,[0.82],0.45427728,0.028079478,0.0,2.6315155,9,1.0,0.0,0.45672035,201,301.63226,1,375.447,[-36.697],0.20647505,-2147483648,2.076495,0.3366662,-3.4028235e+38,-0.14725052,0.9044688,-3.4028235e+38,[-79.448],0.45620963,0.7419703,0,[77.857],2,2,0,0,1,2073.8467,0.0,15.032372,4.193834,2.052891,118.37043,96.40386,184.57993,154.52832,-2147483648,16.161797,0.5221239,6,0.0,0.6561131,0.6268657,1935,879,-36.72888,1007,1.6973286,2.4690335,-35.403065,[188.159],[-2.072],9,4,-3.4028235e+38,[0.742],5,0,-3.4028235e+38,17367,2.4462776,339,113.66899,[164.],339,0,[161.966],6.510131,[188.1],-2147483648,108.17384,0,2,110.13359,-2147483648,1.0,-1.0,0.86938477,181.53905,25,177,0.14285715,[181.574],0.67896795,0,2.4013848,5.188082,23,0.0,0.0,2.052891,0.4466123,-3.4028235e+38,7,[0.926],96.40386,136.82265,0.0,188.2018,1.428248,22.46296,-3.4028235e+38,12,[187.895],-3.4028235e+38,201,339,8,1.6337825,493.40048,0.30862492,0.0,[456.21],-35.373108,-1.0,1,1,0,0.19452555,570.262,0.0,7,-3.4028235e+38,[0.028],[-2.068],0.87288976,187.9384,[-84.588],0.45620963,0,[],-2147483648,0.79289085,879,5,265.83142,-0.2712317,184.47588,222.27963,-2.0681689,0,434.52316,0,339,0,[238.856],-3.4028235e+38,[184.476],-3.4028235e+38,-3.4028235e+38,3.161183,-3.4028235e+38,54.04740257196762,9999.0,9999.0,9999.0,20,0.20136518771331058,4.701439,52.784836,191.49867,0.853021,181.57356,-36.69698,188.15909,161.96602,-84.58769,238.85632,879,0,20,2.001048481464386,12,5.112296799818675,15,1.9131876468658446,2.076495,0.5380871,0.64972913,1.2074794,1.0,0.0,False,0.903979,9999.0,9999.0,72.44436,6.1649013,0,1,0,0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,99999.0
970,2,60.949993,-3.4028235e+38,0.1371127,2.2177608,86,99.291336,[115.43],[66.353],[27.797],[],1,-3.4028235e+38,-3.4028235e+38,-1.0,[1.025],0.6865672,0.007877335,0.0,1.6160178,5,1.0,0.0,0.21922418,226,322.13504,1,53.889774,[28.088],1.9294406,-2147483648,1.6442294,0.11747926,-3.4028235e+38,0.10396367,0.71657133,-3.4028235e+38,[53.464],0.21871378,1.005239,0,[35.716],7,2,0,0,1,1642.9872,0.0,56.718315,6.8304057,4.4549775,29.017227,147.36838,66.122665,267.7008,-2147483648,87.34879,0.9177215,2,0.0,-0.62769616,0.92477876,4327,451,27.937443,501,1.592811,1.9483285,27.706314,[98.674],[1.007],7,4,-3.4028235e+38,[1.005],1,0,-3.4028235e+38,16586,2.7437105,158,49.12312,[80.8],67,0,[79.533],1.6459225,[99.291],-2147483648,53.141613,0,13,323.6152,-2147483648,1.0,-1.0,0.99428266,64.899,5,118,0.12565444,[65.124],0.78727907,0,0.5290796,8.131258,2,0.0,0.0,3.9619722,0.22426547,-3.4028235e+38,6,[0.876],147.36838,64.73075,0.0,98.3226,2.2177608,61.10764,-3.4028235e+38,12,[98.909],-3.4028235e+38,226,158,2,3.1292903,254.5272,0.18508881,0.0,[218.714],27.643753,-1.0,1,12,0,0.85347617,273.3922,0.0,4,-3.4028235e+38,[0.008],[0.974],0.9001996,98.55785,[53.688],0.21871378,0,[],-2147483648,0.9313459,451,3,122.702545,0.15313204,66.554535,711.288,0.97436184,0,110.72636,0,67,0,[115.071],-3.4028235e+38,[66.555],-3.4028235e+38,-3.4028235e+38,2.1476223,-3.4028235e+38,50.483404750253214,9999.0,9999.0,9999.0,6,0.2616407982261641,20.105892,206.75081,1.4801636,0.853021,65.12424,28.087887,98.67356,79.53345,53.688408,115.07106,451,0,25,2.5046153545379637,11,2.5993955677205864,22,2.6513309587131846,2.2177608,0.27019936,0.303019,1.1214645,1.0,0.0,False,0.78231114,9999.0,9999.0,33.64357,6.6659236,0,1,0,0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,99999.0
1235,8,29.855186,-3.4028235e+38,0.40422866,2.618168,39,420.4,[496.731],[191.643],[-83.706],[],1,-3.4028235e+38,-3.4028235e+38,-1.0,[0.733],0.30132452,0.018488273,0.0,2.228583,5,1.0,0.0,0.5972296,336,8.588318,1,417.9445,[-90.622],2.8455055,-2147483648,2.0213666,0.44911468,-3.4028235e+38,0.3936496,0.8049711,-3.4028235e+38,[-84.973],0.5967188,0.7197103,0,[105.178],3,2,0,0,1,78.316826,0.0,3.717516,2.1497273,2.0273035,263.5884,66.284874,189.82216,98.07669,-2147483648,3.717516,0.37980768,7,0.0,-0.62667924,0.51488096,1983,1054,-90.756874,1203,2.0695655,2.1062074,-83.55407,[420.223],[0.01],10,4,-3.4028235e+38,[0.72],3,0,-3.4028235e+38,17043,2.409548,416,49.008347,[257.434],302,0,[256.376],1.9320439,[420.4],-2147483648,245.32019,0,6,30.343655,-2147483648,1.0,-1.0,0.7376845,187.98978,8,234,0.22649573,[189.811],0.074446596,0,1.8347977,1.6095108,6,0.0,0.0,1.818407,0.5663216,-3.4028235e+38,9,[0.885],66.284874,106.7587,0.0,417.85934,2.5075688,27.102434,-3.4028235e+38,12,[420.38],-3.4028235e+38,336,416,9,4.562589,728.7743,0.39367393,0.0,[596.719],-83.93481,-1.0,1,5,0,3.0098405,745.8985,0.0,4,-3.4028235e+38,[0.018],[-0.011],0.876143,418.0171,[-94.925],0.5967188,0,[],-2147483648,0.4383542,1054,6,469.5062,-0.0043740007,191.62103,163.63252,-0.011110948,0,584.35016,0,302,0,[496.699],-3.4028235e+38,[191.621],-3.4028235e+38,-3.4028235e+38,2.5241854,-3.4028235e+38,18.533900777541152,9999.0,9999.0,9999.0,24,0.222011385199241,214.58006,68.221504,21.755337,0.853021,189.81062,-90.62157,420.22333,256.37558,-94.92462,496.6994,1054,0,21,2.16169506027585,12,2.022941678762436,18,2.1081921259562173,2.0213666,0.68231523,0.88767046,1.3009683,1.0,0.0,False,0.9273041,9999.0,9999.0,101.479065,5.580674,0,1,0,0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,99999.0
