entry,nu_e,nu_pdg,weightSplineTimesTuneTimesPPFX,weightSplineTimesPPFX,interaction
50,0.55001664,12,1.5490692,1.3087369,0
74,1.7218117,12,0.6238526,0.6238526,1
91,1.0726143,12,0.8654667,0.8654667,1
98,1.6308466,12,5.634601e-14,1.0095289,10
102,0.93172634,12,0.6211355,0.6211355,1
115,1.4801859,12,1.5578086,1.5578086,1
195,1.1181926,12,0.92364275,1.0181257,10
198,1.1480858,12,1.1611798,1.02102,0
212,0.7862005,12,0.98745275,0.83410615,0
291,1.4577698,12,1.408053,1.2598505,0
301,0.63513285,12,0.72706425,0.5334342,0
345,1.1355398,12,0.6664098,0.56172305,0
350,0.5966235,12,0.12901098,0.46897686,10
356,0.9363339,12,0.9612825,0.9612825,1
374,0.960606,12,1.2191378,1.0234491,0
391,0.89306617,12,1.2517011,1.0495067,0
407,2.671229,12,1.2922192,1.119682,0
410,0.76346225,12,1.0309513,0.87791336,0
479,0.9650478,12,0.64623886,0.54858476,0
493,1.0417291,12,1.2174686,1.0,0
546,1.0509862,12,0.85433173,0.85433173,1
548,1.0422536,12,0.6215454,0.6215454,1
598,0.974143,12,1.4150014,1.1955271,0
614,1.1232132,12,0.88855696,0.88855696,1
623,0.9568685,12,6.5614038,1.098725,10
659,0.584545,12,1.1603795,0.981616,0
666,0.99882734,12,1.0173178,1.0173178,1
777,1.7157636,12,0.6150158,0.6150158,1
831,2.3301516,12,1.1772317,1.0485847,0
847,1.1931072,12,0.50416255,0.43560737,0
860,0.29743528,12,1.1320053,0.9559342,0
879,1.0674394,12,1.1488136,0.9835739,0
896,0.699438,12,1.1242424,0.9928151,0
919,0.871355,12,1.9958235,1.0259745,10
944,0.4531967,12,0.532034,0.4846694,0
1022,1.1512655,12,1.2543023,1.0304189,0
1025,0.7709985,12,1.2230376,1.034902,0
1078,1.3970811,12,0.99475527,0.99475527,1
1122,0.82158005,12,0.70679325,0.62896293,0
1138,1.394229,12,1.1209153,0.96582234,0
1161,0.67948234,12,1.3575925,0.49826515,10
1263,0.79743737,12,1.0796928,0.94580793,0
1289,1.0018001,12,1.1171392,1.0315875,0
1295,1.3664932,12,0.34363163,0.28939044,0
1307,0.8204632,12,1.2859932,1.1130135,0
1407,0.9772849,12,0.7781183,0.67516935,0
1425,1.2765214,12,0.5120438,0.43491304,0
1485,0.6213321,12,1.1287831,1.0689093,0
1495,1.0320106,12,0.41226596,0.3570062,0
1521,0.85607463,12,1.1284308,1.0589252,0
1532,1.3591431,12,1.191658,1.0644243,0
1622,1.022497,12,1.1933084,0.96031666,0
1626,0.9409989,12,1.1778247,1.0015719,0
1635,0.94144434,12,2.869017,0.66359067,10
1638,0.6677746,12,1.5696849,1.3123053,0
1642,1.5316895,12,1.4572861,1.2476219,0
1680,2.5024247,12,1.0165447,1.0165447,1
1700,0.91827124,12,1.770913,1.4047946,0
1716,0.45034653,12,1.3081199,1.1601592,0
1792,0.85424787,12,0.7288981,0.655366,0
1810,0.8949365,12,1.2282172,1.06723,0
1847,1.233609,12,0.9606493,0.9606493,1
1862,1.4841849,12,1.1699812,1.145465,0
1876,1.9099193,12,1.3473719,1.0236967,0
1909,0.8002513,12,0.8976888,0.98637575,0
1915,0.5206859,12,0.9951598,0.98298043,0
1953,1.8757322,12,0.74899477,0.66508365,0
1958,0.8545933,12,1.1071575,0.97364205,0
1972,0.9371599,12,1.5255368,1.3405346,0
1976,1.8141178,12,1.2123024,1.0738522,0
1988,0.75427264,12,0.67935956,0.5789409,0
2060,0.9870635,12,1.174726,1.0265756,0
2091,0.76331276,12,1.5113267,1.2579697,0
2122,1.1825455,12,5.227028,0.6471301,10
2129,0.57963604,12,0.9593425,0.8358506,0
2143,1.9115769,12,1.004138,1.004138,1
2188,0.56905186,12,0.74619275,0.72225016,0
2312,0.6787969,12,1.1412662,1.0491134,0
