entry,nu_e,nu_pdg,weightSplineTimesTuneTimesPPFX,weightSplineTimesPPFX,interaction
270,0.5876191,-12,0.65457547,0.5766579,0
936,0.9688824,-12,1.0,1.0,1
1073,1.229563,-12,0.78937876,0.78937876,1
1091,1.3718303,-12,3.1844413,0.4870409,10
1337,0.6486358,-12,1.0569506,0.922735,0
1755,1.9394358,-12,1.1094811,0.9623112,0
1759,1.5181696,-12,1.0612863,0.915857,0
2000,1.0730656,-12,5.685149,0.9217905,10
2847,2.753761,-12,0.6952446,0.5901423,0
3172,1.477748,-12,0.5209476,0.5209476,2
4074,1.9120705,-12,0.45927948,0.45927948,1
4177,1.8808324,-12,1.0182828,1.0182828,1
4250,1.1634771,-12,1.1338822,1.1338822,1
4251,1.3074065,-12,1.6343964,1.3975791,0
4305,1.1037797,-12,1.0019256,1.0019256,1
4377,2.8236713,-12,1.0634408,0.9160318,0
4474,1.0090446,-12,0.00021433705,1.0191509,10
4483,2.2828426,-12,0.50561285,0.50561285,1
4639,0.9879782,-12,0.47489226,0.47612402,0
4797,2.264225,-12,0.50561285,0.50561285,1
4808,1.3708265,-12,0.5994512,0.62039566,0
4887,1.2099668,-12,0.38929617,0.19280216,10
5365,1.131111,-12,0.61967784,0.5654268,0
5755,0.7760916,-12,1.2906528,0.81344134,10
5775,1.1017553,-12,1.0432527,1.0432527,1
5781,0.7053283,-12,1.1359497,1.0406419,0
5950,1.7425596,-12,1.1577017,0.9822342,0
5972,1.2208868,-12,0.9340043,0.9340043,2
6321,3.796765,-12,0.5298329,0.4560415,0
6439,0.9819537,-12,0.97134423,0.97134423,1
6796,1.568211,-12,1.0780613,1.0780613,1
7102,1.0095679,-12,0.8511476,0.7294517,0
7301,1.4054463,-12,1.0330257,1.0330257,2
7754,2.3023314,-12,1.388161,1.218176,0
7834,0.41058537,-12,0.04925719,1.0415176,10
8511,1.6133497,-12,7.968159e-06,1.0078986,10
8619,3.138831,-12,1.061257,0.9535232,0
8724,1.0055194,-12,1.0231571,0.89492536,0
8750,1.2036568,-12,1.0333967,1.0333967,1
9518,1.4343079,-12,0.1017758,0.858842,10
9801,1.5857788,-12,0.835638,0.835638,2
9911,1.2722527,-12,10.1744585,0.9184645,10
10142,3.3441584,-12,1.0622483,1.0622483,1
10295,2.1455865,-12,0.45534593,0.45534593,10
10732,0.6680166,-12,1.0033797,0.98530984,0
11241,0.7236411,-12,1.0648943,1.020042,10
11364,2.3291953,-12,1.0206653,1.0206653,2
12096,1.8513447,-12,1.4418198,1.2381119,0
12350,0.84501445,-12,0.5592305,0.5592305,1
12418,0.97933483,-12,1.3647469,1.1708145,0
12901,1.8197792,-12,0.9065772,0.9065772,1
13242,2.2997868,-12,0.50561285,0.50561285,1
13407,0.8023619,-12,1.5525638,1.2792258,0
13611,0.84136915,-12,0.84465605,0.84465605,1
13720,1.1281527,-12,1.0765744,0.9308647,0
13762,1.7873071,-12,1.3424544,1.1942941,0
13989,1.2062196,-12,0.85302436,0.85302436,1
14375,1.9133872,-12,1.0849904,0.9273423,0
14647,0.5619942,-12,0.00439662,1.0140445,10
14833,1.4933257,-12,1.0405792,1.0405792,1
14962,1.8879426,-12,0.90136355,0.90136355,2
15392,0.8247828,-12,0.8448723,0.8448723,1
16086,2.3984125,-12,0.85158825,0.72227675,0
16643,1.5331528,-12,1.1469662,1.0027305,0
16801,3.8874242,-12,0.98058826,0.98058826,1
16997,1.8239572,-12,0.9856641,0.9856641,1
17277,1.0107045,-12,0.60231507,0.56628144,0
17475,3.170909,-12,1.037336,0.90546334,0
17774,0.7217646,-12,1.5365233,1.3019209,0
17786,3.5266798,-12,1.0281036,0.86230737,0
17881,2.5278447,-12,0.7650613,0.7650613,1
17934,0.8173439,-12,1.8804855,1.6872869,0
18059,0.8617365,-12,8.8679,1.0153328,10
18313,1.2886966,-12,0.8832922,0.8832922,1
18863,1.388796,-12,1.153798,1.0236121,0
18866,1.2273427,-12,2.4603746,0.8819408,10
19057,0.735399,-12,8.920914,0.9645887,10
19417,1.3631246,-12,4.4936643,0.50022924,10
19624,1.2531017,-12,0.78937876,0.78937876,1
19873,1.1535591,-12,0.40408844,0.52684987,10
19894,1.2977172,-12,0.5561686,0.5561686,2
19982,1.1012353,-12,1.2168114,1.0409869,0
20070,0.9766936,-12,0.44750026,0.39703575,0
20492,0.84723413,-12,0.85134596,0.85134596,1
20941,0.8829218,-12,1.1180693,0.9473134,0
20980,1.6292831,-12,1.045556,1.045556,1
21072,1.1813316,-12,7.978833,8.002856,0
21718,1.2643068,-12,0.9395952,0.9395952,1
22154,0.8563219,-12,0.016248764,1.2757851,10
22155,0.8089433,-12,0.92003435,0.861231,0
22422,1.0293031,-12,0.67688656,0.65492725,0
22780,0.53548855,-12,0.0008469192,0.6729052,10
23164,2.4983296,-12,0.93679756,0.93679756,1
24828,0.34698883,-12,1.1986293,0.92906123,0
26008,1.2481968,-12,0.98597217,0.98597217,1
26216,1.2684665,-12,15.674301,1.4163784,10
26278,0.7830228,-12,0.8941774,0.8941774,1
26453,2.0733335,-12,0.94592994,0.94592994,1
27207,1.071545,-12,0.756525,0.6437715,0
28043,1.937213,-12,0.8339753,0.738778,0
28168,1.4673231,-12,1.0996815,0.9545681,0
28257,1.6339384,-12,1.0137184,1.0137184,2
28748,1.2812387,-12,1.162199,1.162199,1
29027,2.7719388,-12,1.0433418,1.0433418,2
29315,1.7999264,-12,0.5910345,0.5910345,1
29797,2.3023345,-12,0.5414764,0.5414764,2
30297,1.6338004,-12,0.98265374,0.98265374,10
30357,1.8720067,-12,1.0409788,1.0409788,10
30607,0.49665257,-12,0.9993641,0.81282794,0
31019,0.6830677,-12,0.93883723,0.93883723,1
31421,2.2233825,-12,0.973312,0.973312,1
31476,0.89405894,-12,2.622965,0.77901226,10
31571,1.425439,-12,1.0074625,1.0074625,2
32815,1.3291132,-12,0.8896471,0.8896471,1
32871,0.78384227,-12,1.8589966,1.2405752,10
33119,1.2139224,-12,0.48369303,0.48369303,1
34101,1.5844665,-12,9.847947e-09,0.7928059,10
34321,2.0382497,-12,1.0105056,1.0105056,1
34382,0.92473125,-12,0.9609422,0.9609422,1
34670,1.3548642,-12,0.847664,0.847664,2
34990,0.64653087,-12,3.6557443,0.92336994,10
35108,0.51352274,-12,1.2429895,1.0774542,0
35141,1.095125,-12,7.093198,0.92508954,10
35695,2.4167643,-12,0.89541155,0.89541155,1
36124,1.1033124,-12,1.1802984,1.0092139,0
36172,2.1658332,-12,0.8951571,0.8951571,1
36310,1.1805396,-12,1.149381,1.149381,1
36333,1.8287476,-12,1.044158,1.044158,1
36473,2.6343005,-12,0.5487648,0.52305883,0
36758,0.56042236,-12,0.34934887,0.34934887,1
37328,2.5345948,-12,0.9209624,0.9209624,1
37397,1.4324841,-12,0.8967199,0.8967199,1
37655,1.5486219,-12,0.8910413,0.8910413,2
37843,1.4265013,-12,0.5238256,0.46958366,0
38998,1.8789397,-12,0.779531,0.779531,1
39007,1.088486,-12,0.51597846,0.5350363,0
39473,1.1060725,-12,0.93910074,0.93910074,1
39648,2.1573408,-12,0.9578602,0.83780324,0
39652,3.4406106,-12,0.89399207,0.89399207,1
39883,2.1510286,-12,1.0752792,1.0752792,1
40208,1.7002891,-12,0.6857966,0.5829917,0
40344,1.0476705,-12,0.39998057,0.91195136,10
40508,0.824906,-12,0.5638616,0.50193477,0
40606,1.2033348,-12,0.55909276,0.55909276,1
41034,1.1678181,-12,3.499222,0.5782635,10
41324,1.8566576,-12,1.0581169,1.0581169,2
41523,0.6895483,-12,0.7141749,0.6519389,0
41724,2.1614153,-12,0.00071428047,0.4307159,10
41866,1.6300536,-12,1.2406956,1.0448333,0
42049,1.0329134,-12,1.0484196,1.0484196,1
43671,1.3180046,-12,0.4642233,0.4642233,1
44006,1.2363409,-12,4.594759,0.8762514,10
44254,2.0112658,-12,1.010296,1.010296,1
44606,0.36731946,-12,2.1932416,0.9981785,10
44984,0.8415772,-12,1.1453522,1.0215402,0
45028,0.5985194,-12,0.8567177,0.8567177,2
45645,1.043445,-12,0.8818008,0.9381081,0
45865,0.89116085,-12,2.965541,1.1139201,10
46036,1.0155193,-12,1.5185266,0.91713995,10
46151,3.208375,-12,0.7384615,0.658633,0
46355,1.9708598,-12,0.4477938,0.4477938,1
46611,0.7339054,-12,1.3941458,1.176743,0
46898,0.83566844,-12,1.1900257,1.0001513,0
47331,0.66233903,-12,1.0887202,1.0887202,1
48561,1.3108258,-12,0.6775123,0.5895555,0
48898,1.4724456,-12,0.8153284,0.7546213,0
48937,1.2607849,-12,1.0362155,1.0362155,2
49568,0.83488476,-12,1.2469004,0.9868645,0
49579,2.7667985,-12,1.5125972,1.5125972,1
49830,1.6784458,-12,1.5612648,0.9296785,10
49962,1.4217596,-12,0.58171016,0.493558,0
50153,2.8174267,-12,1.0251921,1.0251921,10
50946,2.3802674,-12,0.87792844,0.87792844,1
51434,1.0886493,-12,6.994061,1.0442935,10
51532,1.3633363,-12,0.00038646994,0.652929,10
51779,1.6686014,-12,1.0673453,0.92627823,0
51916,3.6834342,-12,0.52766156,0.52766156,1
52226,2.4237347,-12,1.0341929,1.0341929,10
52550,1.9488541,-12,0.56875587,0.4992875,0
