entry,nu_e,nu_pdg,weightSplineTimesTuneTimesPPFX,weightSplineTimesPPFX,interaction
166,1.9265355,12,1.2196755,1.0458891,0
220,1.5628799,12,0.00019092369,0.88871926,10
250,0.7999882,12,0.79387987,0.68972695,0
251,1.4259641,12,1.2451378,1.0476456,0
291,1.2406166,12,1.0402399,1.0402399,1
323,0.81591,12,1.1261271,1.0259178,0
327,0.50923383,12,0.70679873,0.59315634,0
330,1.6092491,12,1.3996874,0.9809908,0
331,1.2967241,12,0.0024793074,0.94400316,10
415,1.1084194,12,1.0869045,0.89408374,0
436,1.4466748,12,0.4779219,0.39100802,0
451,0.78209233,12,0.000103991915,0.95618314,10
605,0.63216573,12,0.6929433,0.5614393,0
683,2.6927292,12,1.2051948,1.0242249,0
711,0.60100555,12,1.0316391,1.0316391,1
940,0.6261662,12,1.1552671,1.0380453,0
986,1.8815244,12,1.6196073,1.2479762,0
1002,0.5926377,12,1.0931923,0.92368484,0
1009,2.0084867,12,1.1869786,1.0323784,0
1167,0.8391628,12,1.1935353,0.9435986,0
1170,1.6080099,12,0.44184983,0.42641118,0
1194,1.1689738,12,1.2875878,1.0141481,0
1240,0.4079486,12,1.8086734e-05,1.0590403,10
1282,1.0536935,12,1.0514244,1.0119826,0
1308,1.2460666,12,0.9860684,0.9217905,0
1363,1.4591777,12,1.0932461,0.9217905,0
1368,0.986954,12,1.1790136,1.0146216,0
1378,3.3466752,12,1.2992414,1.0869373,0
1413,1.2570109,12,0.47958612,0.4207658,0
1480,1.0770569,12,1.2938588,1.1955473,0
1737,1.2284001,12,1.258271,1.0527298,0
1944,1.944249,12,1.1820178,1.0309025,0
2091,1.4169004,12,0.46372813,0.46372813,1
2137,1.125238,12,0.78939885,0.6402883,0
2229,0.75541747,12,1.0083991,0.84151685,0
2329,0.8811727,12,1.0744097,1.0223366,0
2431,1.0799856,12,0.5477817,0.50144064,0
2470,0.85800475,12,0.00021590748,0.5436339,10
2617,0.6865489,12,0.2866967,0.26424727,0
2630,0.91823,12,0.83938116,0.56739914,0
2634,0.85974973,12,1.0420376,0.9066312,0
2797,3.3772175,12,0.91123354,0.76863396,0
2921,1.0046635,12,3.544424e-05,0.35348517,10
2950,0.5811514,12,0.00038795176,0.5921612,10
3011,0.51589245,12,1.0037249,0.84680194,0
3130,1.3962319,12,0.46976113,0.48157692,0
3191,0.20459443,12,1.0307571,0.7050713,0
3228,1.9044766,12,0.7768615,0.7768615,1
3286,0.23259617,12,1.4347993,0.95242316,0
3424,1.0277716,12,1.1467737,0.9651766,0
3427,1.9381967,12,0.52885455,0.52885455,1
3438,1.1981708,12,1.1218204,1.0415608,0
3569,0.90475565,12,1.1380546,1.0459431,0
3600,0.53282565,12,6.779287e-07,0.9217905,10
3618,0.9216069,12,0.6741472,0.49981076,0
3852,1.2492459,12,0.6325415,0.6325415,1
3865,0.83816206,12,0.0076087755,1.0193774,10
3886,1.1023482,12,0.887359,0.8389958,0
3928,1.4433807,12,1.2196025,0.96639663,0
3985,0.8989043,12,0.89789283,0.76785964,0
4014,0.7638623,12,0.60806996,0.57256204,0
4028,0.6051851,12,0.47957897,0.36543974,0
4035,2.0789068,12,1.4636881,1.283261,0
4102,1.4966571,12,1.2381727,1.0849681,0
4137,1.0014281,12,1.0692377,0.91061264,0
4171,0.802994,12,1.235144e-05,0.6345512,10
4251,1.6182003,12,1.2196174,1.0154818,0
4387,0.44365448,12,0.3527028,0.38846612,0
4493,1.7293899,12,1.1301085,0.9912486,0
4625,1.1293275,12,1.2028539,1.022666,0
4754,3.3970857,12,0.96982795,0.96982795,10
4755,0.63802737,12,1.2737721,0.98612124,0
4843,1.098864,12,0.6291955,0.5396131,0
4877,1.4478955,12,1.8030243,1.5176028,0
4896,1.7783203,12,1.6983467,1.3205683,0
4926,0.46572205,12,1.0926154,0.9208985,0
5002,0.40260693,12,3.4312034e-06,0.7793621,10
5016,0.1893484,12,0.76919395,0.5933514,0
5161,0.7185163,12,0.69697404,0.59026945,0
5162,1.042619,12,1.4426382,1.0403357,0
5197,0.9385252,12,0.0045649153,0.55310965,10
5241,1.7647793,12,1.1744317,1.0225269,0
5354,0.5959443,12,0.8953892,0.76779985,0
5378,0.6103469,12,1.725458e-06,0.9217905,10
5474,1.7988261,12,1.3057125,0.9472298,0
5477,1.2776002,12,1.2324123,1.0063515,0
5581,2.616611,12,0.87104464,0.76859903,0
5624,0.372469,12,1.0682838,1.0178726,0
5629,1.2620276,12,1.1190598,0.9942969,0
5635,2.569091,12,1.193446,1.0507773,0
5752,0.8427987,12,1.2136583,1.0184277,0
5815,0.90100646,12,1.1222659,0.9633043,0
6087,0.7242056,12,0.8444945,0.7751692,0
6143,0.4219248,12,0.47659695,0.47770548,0
6160,0.86330914,12,0.0007790904,0.55716866,10
6192,0.5635295,12,0.9455545,0.9406958,0
6236,0.8315867,12,1.1655273,1.0246415,0
6241,1.3314221,12,6.1731615,0.9753692,10
6400,1.178193,12,1.5210255,1.5210255,1
6407,0.6421312,12,0.51277393,0.4979597,0
6501,2.137419,12,3.6346257,1.1374192,10
6556,0.2685272,12,1.2541882,1.0410202,0
6667,1.2161714,12,1.0630672,0.9021902,0
6738,4.0369477,12,1.0312852,0.9917173,0
6762,1.3324966,12,1.7287734e-08,0.8131671,10
6817,0.50346273,12,0.6262029,0.6290451,0
6861,0.7995139,12,0.6764972,0.5704085,0
6903,0.9686042,12,1.0663186,0.8958643,0
7071,0.8430252,12,9.626146e-05,0.5221752,10
7073,1.1734515,12,1.3857843,1.1775936,0
7099,0.78763384,12,0.7065178,0.6349464,0
7306,2.2501352,12,1.8197659,1.3914051,0
7328,3.9693923,12,1.2548827,1.2548827,10
7334,1.7093385,12,1.0431137,1.0431137,1
7404,1.7339671,12,1.1562744,1.0095872,0
7663,0.86379504,12,1.0380408,1.027474,0
7738,1.166895,12,1.3111745,1.094045,0
7745,0.5635759,12,1.3901933,1.186193,0
7828,0.8967068,12,1.0211837,0.8450366,0
7885,0.56755376,12,1.1890315,1.0087618,0
7895,0.6741881,12,3.1614174e-05,0.6165739,10
7926,0.71696603,12,1.217272,1.0365572,0
7971,0.3615692,12,0.9885473,0.86773604,0
8075,0.91205245,12,0.95296854,0.7904225,0
8116,0.5048654,12,0.31620258,1.3431581,10
8185,1.1150106,12,0.56460464,0.47901896,0
8274,0.75441,12,1.0083225,0.93407243,0
8292,0.66576207,12,0.21185459,1.0037068,10
8343,0.9474188,12,0.98591506,0.8277909,0
8412,0.51102304,12,0.49298364,0.41391978,0
8585,1.050039,12,0.51033616,0.43585455,0
8689,1.1266423,12,1.2142848,1.000732,0
8863,0.77950734,12,0.9523068,0.87791336,0
8966,0.5568842,12,1.0326954,0.87791336,0
9076,0.71202093,12,0.75575644,0.6343315,0
