entry,nu_e,nu_pdg,weightSplineTimesTuneTimesPPFX,weightSplineTimesPPFX,interaction
23,0.29462653,-12,1.0755898,1.0318248,0
54,0.87572736,-12,0.7216163,0.52661866,0
78,1.0469542,-12,1.0729182,1.0624995,0
113,2.2798326,-12,0.13816504,1.0709836,10
119,1.489213,-12,0.6426626,0.5669822,0
122,1.2758675,-12,1.1577348,1.0188547,0
137,0.57112724,-12,1.1092912,0.88765955,0
299,1.2464167,-12,0.6807139,0.5178242,0
403,0.6842115,-12,0.7396588,0.6569065,0
497,0.770696,-12,1.069138,1.0068148,0
545,1.3223767,-12,1.4107671,1.2340009,0
578,0.8131347,-12,0.98966044,0.87791336,0
595,1.2703818,-12,0.9508213,0.840213,0
641,1.3930418,-12,0.9466647,0.9217905,0
867,1.3711936,-12,0.29906502,0.47251368,10
922,1.0018464,-12,5.087155,0.87473667,10
1018,1.4818537,-12,0.9982702,0.9715711,0
1034,0.6016767,-12,1.382311e-05,1.2002935,10
1060,1.1648047,-12,1.1567533,0.9937591,0
1067,1.091386,-12,8.801335e-07,0.87039477,10
1121,2.3517866,-12,0.8747871,0.8747871,1
1123,1.2728503,-12,1.0396792,0.9264409,0
1256,0.80159515,-12,0.9853776,0.8637556,0
1274,0.9713591,-12,0.960025,0.99637765,0
1333,0.769752,-12,1.1609594,0.991043,0
1366,0.82717127,-12,0.6508675,0.4919834,0
1762,1.1751493,-12,1.8276182,1.0426682,10
1803,0.9537966,-12,0.52784157,0.46068484,0
1886,0.753384,-12,1.0942775,0.9558121,0
1927,1.402521,-12,5.976639e-07,0.51694125,10
1957,1.6883341,-12,1.6369815,1.2781119,0
2228,0.94561243,-12,1.1429131,0.9937147,0
2271,2.0137403,-12,1.0646204,0.9087256,0
2287,0.8138998,-12,4.308597e-06,0.8907845,10
2310,1.8514031,-12,1.1928442,1.0044743,0
2377,0.94962966,-12,0.0057694316,0.9793074,10
2456,1.3411903,-12,8.14275,1.0396134,10
2463,0.55241615,-12,0.9253359,0.9060384,0
2512,1.2318376,-12,0.6958675,0.6958675,1
2584,0.40876612,-12,1.0636723,1.028774,0
2671,0.89170855,-12,2.0259378,0.52479804,10
2775,0.42684445,-12,1.1503339,0.994042,0
2783,0.6663324,-12,0.36919007,1.2695194,10
2814,0.45629847,-12,1.0245037,0.7812766,0
2968,1.1465893,-12,0.97084427,0.97084427,1
2996,0.8670134,-12,0.98655444,0.94624203,0
3111,0.5252763,-12,0.80562717,1.0445676,10
3281,1.0544121,-12,0.5199214,0.4337806,0
3313,1.1560415,-12,0.5046982,0.509083,0
3314,0.91671735,-12,0.7883038,0.6975582,0
3441,0.9894841,-12,0.8614842,0.8263658,0
3493,0.76217246,-12,0.00024673645,0.99448544,10
3503,1.0330036,-12,0.6467464,0.5216226,0
3524,2.1808398,-12,0.99748486,0.99748486,1
3614,0.96163493,-12,0.0004902152,0.97512376,10
3645,1.2416806,-12,1.3359293e-13,0.9838341,10
3686,1.3992422,-12,1.1493075,0.99366087,0
3700,3.12728,-12,0.7968581,0.6925688,0
3721,2.3724597,-12,1.1168419,0.96357155,0
3859,0.65960824,-12,0.00026568552,1.1716379,10
3893,1.0722562,-12,1.2092476,1.038463,0
3932,1.2958546,-12,1.0750794,0.9217905,0
3980,1.0063211,-12,0.48348647,0.48348647,1
4031,0.94610816,-12,1.2053815,0.9962981,0
4064,1.2303094,-12,0.82612693,0.6679101,0
4087,1.14689,-12,1.6129961,0.9188848,10
4093,0.7197663,-12,0.5933503,0.5630428,0
4240,0.49431807,-12,0.6984031,0.5594258,0
4259,0.6480467,-12,1.1959746,1.0468225,0
4416,1.4869713,-12,0.7900858,0.7900858,1
4462,0.9316149,-12,1.2116302,1.0355965,0
4568,0.7328137,-12,1.0578313,0.8913977,0
4650,1.393795,-12,1.2026497,1.0493276,0
4684,2.135106,-12,1.5844104,1.5844104,1
4744,1.1197723,-12,1.0099953,1.0099953,1
4790,0.88200504,-12,1.0489191,0.9261986,0
4861,2.0906606,-12,0.01723019,0.6935219,10
4878,2.0518446,-12,2.9752648e-10,0.4753646,10
4917,1.1770556,-12,7.557451,1.6331197,10
4931,0.6480151,-12,0.97536314,1.0055931,0
4940,0.93520033,-12,0.62332135,0.5197436,0
5015,0.56041396,-12,0.502307,0.52120095,0
5091,0.9005067,-12,1.1180272,0.92938113,0
5100,1.048684,-12,0.00018205323,0.9549152,10
5307,4.285287,-12,0.95515984,0.8378686,0
5410,1.1482323,-12,0.6041304,0.5238314,0
5417,1.496839,-12,1.1494738,1.0332181,0
5434,0.42442396,-12,0.80004036,0.62015307,0
5442,0.49972293,-12,0.0047016214,1.0400945,10
5456,1.3294255,-12,1.1752282,1.0189359,0
5499,0.66016084,-12,1.134571,0.9676497,0
5674,1.1195017,-12,1.023209,0.9325569,0
5714,0.84902114,-12,1.1357075,0.9525663,0
5897,1.0440079,-12,1.0646373,0.9352357,0
5943,3.9826493,-12,1.046073,0.89513534,0
