entry,nu_e,nu_pdg,weightSplineTimesTuneTimesPPFX,weightSplineTimesPPFX,interaction
158,1.3386161,-12,1.1428525,1.0023427,0
1140,1.2897236,-12,1.7782419e-07,0.85637397,10
1176,0.40343365,-12,1.7850599,1.4224726,0
1936,1.1026756,-12,1.1697012,1.0103282,0
2537,1.399348,-12,3.5780144,0.89866954,10
3457,1.3414508,-12,1.1215334,0.96884036,0
5109,1.376849,-12,1.0198065,1.0198065,10
5653,0.38056985,-12,0.36863264,0.90605396,10
6063,1.1304122,-12,0.42195666,0.42195666,1
6194,0.40336895,-12,1.1118778,1.0267206,0
6635,1.1692412,-12,0.80177355,0.80177355,2
6962,1.2971163,-12,2.986253,0.56382877,10
7307,0.96688527,-12,0.9318025,0.9318025,1
8503,1.3153983,-12,0.63314956,0.63314956,1
8775,1.5281615,-12,6.539061e-05,0.55728865,10
8856,2.4090352,-12,1.452497,1.452497,2
9685,2.1438613,-12,0.725509,0.62824506,0
9748,1.3547078,-12,1.0433306,0.9327539,0
11175,0.98991305,-12,0.0074534607,1.0069298,10
12539,0.72915673,-12,1.366239,1.366239,0
13117,1.4391477,-12,1.2590334,1.0730352,0
14004,1.482143,-12,5.793377,0.9755091,10
14429,1.9099376,-12,2.552288,0.9161085,10
14510,1.8566337,-12,1.085727,0.92935383,0
14821,1.0031924,-12,1.0394119,1.0394119,1
14848,0.6337581,-12,1.0109308,0.9892231,0
14861,1.443811,-12,0.26231754,0.26231754,1
15119,1.249944,-12,1.1100836,0.9611914,0
17127,2.0129068,-12,1.0460205,1.0460205,2
17160,1.6363587,-12,9.939511,0.97285,10
18819,1.2074558,-12,0.01059127,0.88118243,0
19426,3.3124895,-12,1.0457783,1.0457783,1
19804,1.4970958,-12,3.515137e-09,0.8139137,10
20222,0.8225467,-12,0.012569412,1.0745466,10
20236,2.5387692,-12,0.4383171,0.8612034,10
20373,1.0916967,-12,0.71986634,0.71986634,1
20964,1.5211416,-12,0.8956344,0.8956344,1
21029,0.8492387,-12,8.428003e-05,0.8991546,10
21039,1.4779323,-12,1.1941283,1.051634,0
22433,1.3013108,-12,0.9521689,0.9521689,1
22480,1.9829334,-12,1.0690311,1.0690311,1
22574,1.2172756,-12,4.3533826,1.0289675,10
23004,1.8857374,-12,0.96786046,0.96786046,1
23077,1.2747056,-12,1.1862652,1.0186386,0
23230,0.9158422,-12,1.0603706,0.87791336,0
23546,0.6107365,-12,1.0652784,1.0281285,0
24728,1.3311678,-12,0.5818282,0.5818282,1
25520,1.4475576,-12,0.98329836,0.98329836,1
25548,2.0543935,-12,1.2843171,1.1653315,0
25668,1.4672909,-12,0.8700476,0.8700476,2
26309,1.1700906,-12,1.0029329,1.0029329,2
27248,1.7609407,-12,0.640726,0.640726,2
27416,1.4317304,-12,0.95058775,0.78498954,10
28089,4.0588384,-12,0.9396631,0.9396631,2
