entry,nu_e,nu_pdg,weightSplineTimesTuneTimesPPFX,weightSplineTimesPPFX,interaction
244,1.2439157,12,3.1523995,0.6195477,10
291,0.9112266,12,1.7599906,1.4680448,0
295,0.6723729,12,1.0495186,1.0538493,0
298,2.665933,12,1.0773622,1.0773622,1
422,1.5741116,12,1.2658745,1.0417626,0
529,0.6747276,12,1.1799706,0.9915497,0
703,0.92425454,12,0.8939098,0.7607198,0
764,1.0926617,12,1.2139311,1.0276715,0
781,0.9441568,12,0.60360223,0.5504933,0
898,3.4427416,12,0.7677097,0.7677097,10
952,1.2686223,12,5.476892,0.9982559,10
1000,0.6002813,12,1.3571541,1.0119389,0
1207,1.5951366,12,1.0396585,1.0396585,1
1216,1.2722472,12,0.62107533,0.5273245,0
1223,1.5135965,12,1.0758449,1.0206572,0
1239,1.9227313,12,1.4329519,1.1274352,0
1373,1.0386323,12,0.59268206,0.59268206,1
1614,0.7797529,12,1.1116207,0.9709454,0
1765,1.2929456,12,1.0430752,1.0430752,1
1768,1.7656733,12,1.1642023,1.0095872,0
1776,0.8372458,12,1.2006872,0.99435055,0
1878,1.5214704,12,1.1968862,1.0161926,0
1943,1.6135621,12,0.9702682,0.9702682,1
2080,3.4984024,12,0.9246254,0.9246254,10
2139,0.9284492,12,1.0162075,0.87791336,0
2166,0.8433935,12,2.0384207,2.0384207,1
2240,0.7790199,12,0.7248192,0.7248192,1
2244,1.7197132,12,1.1931053,1.0300378,0
2310,0.8135998,12,0.20896207,0.18791857,0
2333,0.25322056,12,1.0295885,0.7672432,0
2405,1.4234126,12,1.102617,1.0,0
2444,0.85809755,12,0.69777876,0.5634243,0
2450,1.8043194,12,1.7678918,1.4924659,0
2525,1.8812201,12,10.727647,1.0125234,10
2550,2.083858,12,0.9723312,0.9723312,1
2732,0.97125727,12,0.71674186,0.71674186,1
2741,1.8057308,12,1.024175,1.024175,1
2864,0.5791644,12,1.0493913,0.8859184,0
2885,2.0777376,12,1.0414233,1.0414233,1
3073,1.3898596,12,1.2001092,1.0041337,0
3103,2.4843886,12,1.1902964,1.1902964,1
3171,1.7578081,12,0.47588503,0.41230404,0
3187,1.408382,12,1.3185638,1.0849223,0
3280,1.8900404,12,1.0722508,0.9102663,0
3304,0.539431,12,0.7190968,0.61000425,0
3308,1.909421,12,1.1282496,0.8746595,0
3336,3.078513,12,0.49161056,0.49161056,1
3348,0.85742825,12,0.76618075,0.8082751,0
3377,0.5773573,12,1.2929099,1.1333503,0
3388,1.3954121,12,1.010935,1.010935,1
3605,0.9076003,12,1.0988895,1.036365,0
3649,1.4238515,12,1.4631974,1.1610944,0
3993,1.8570668,12,0.5042205,0.42742783,0
4125,1.5436083,12,1.2292765,1.2292765,1
4380,0.4231388,12,0.4755539,0.4132198,0
4422,1.5159128,12,0.84785277,0.7391801,0
4486,1.1096064,12,0.21555507,0.94611704,10
4526,1.2205101,12,1.2143118,1.0047218,0
4604,2.221656,12,0.80078185,0.80078185,1
4758,1.2356547,12,1.1332278,1.0629393,0
4836,1.1477984,12,0.69573563,0.6213253,0
4899,1.0146312,12,1.2065529,0.9695903,0
4921,3.9988396,12,1.134868,1.134868,1
4933,0.96965826,12,1.2440698,1.0455619,0
5348,2.5654523,12,1.2392741,1.2392741,1
5503,0.96202606,12,0.60849255,0.49198145,0
5743,0.9042829,12,0.9947731,0.9947731,1
5824,1.2673405,12,1.3195376,1.1641285,0
5890,0.9105253,12,1.8022472,0.48675224,10
5935,1.1801783,12,1.1372594,0.9816613,0
6183,2.0382032,12,0.6059757,0.5163577,0
6482,0.77605116,12,1.2272391,1.0775647,0
