entry,nu_e,nu_pdg,weightSplineTimesTuneTimesPPFX,weightSplineTimesPPFX,interaction
1,2.3619804,12,1.2228513,1.0314783,0
3,1.1512005,12,0.5187539,0.4742527,0
4,0.7492392,12,0.42641643,0.37551138,0
5,0.83292305,12,1.0528972,1.0528972,1
6,2.694571,12,1.2673066,0.9745548,0
7,0.34931114,12,1.0745217,1.0027964,0
9,1.0983577,12,0.6131859,0.6131859,2
11,0.94545263,12,1.2541362,1.0604448,0
12,1.7782989,12,0.8640578,0.8640578,1
14,4.619124,12,1.0112194,1.0112194,2
16,2.002593,12,1.0487626,1.0487626,1
17,2.6689188,12,0.95032924,0.95032924,2
19,0.9106212,12,1.4314878,0.9253779,10
21,1.4602852,12,0.00021524643,0.8935301,10
22,2.0105865,12,0.99718976,0.99718976,2
24,0.4916993,12,1.0299193,1.0601008,0
25,2.7713208,12,0.5005672,0.5005672,1
27,1.3102789,12,1.1877642,1.016217,0
28,1.1825558,12,1.2814413,1.0529655,0
29,1.9912688,12,0.99718976,0.99718976,1
30,0.5802774,12,0.8700936,0.9060777,0
31,0.56584394,12,1.2454115,1.0465343,0
32,1.2428635,12,1.4520432e-05,1.0315719,10
33,1.247369,12,1.1499051,1.0142256,0
35,1.9659202,12,0.56273276,0.56273276,1
36,2.0996382,12,0.62729466,0.62729466,1
38,1.0323589,12,1.3211163,1.0596209,0
40,0.9568579,12,0.0007706311,0.6948917,10
43,0.623601,12,1.0408336,1.0408336,1
46,1.3944682,12,1.0423589,1.0270767,0
50,0.55001664,12,1.5490692,1.3087369,0
51,1.0412166,12,1.0327092,1.0327092,1
52,0.51674986,12,1.0885936,1.0469987,0
54,0.57922435,12,0.9800414,0.86430967,0
55,0.6367295,12,0.5875996,0.9141257,10
57,8.440291,12,1.0315,1.0315,2
58,1.4555289,12,0.63936657,0.63936657,1
60,0.5892567,12,1.4703075,1.2406566,0
61,1.0994068,12,0.98586124,0.98586124,1
62,1.3371525,12,1.0407774,1.0407774,1
63,8.457855,12,1.0315,1.0315,2
64,0.60355115,12,0.7375246,0.63598555,0
65,1.2546157,12,1.0443969,1.0443969,1
66,0.8587147,12,0.97064185,0.97064185,1
68,1.8689913,12,1.0975033,1.0975033,1
69,1.8110766,12,0.52619547,0.4382137,0
70,0.4633284,12,1.3549402,1.0407959,0
