entry,nu_e,nu_pdg,weightSplineTimesTuneTimesPPFX,weightSplineTimesPPFX,interaction
15,2.8798513,-12,0.9503651,0.9503651,1
18,1.3442758,-12,2.5229316,1.1263388,10
23,0.5870272,-12,4.2748445e-05,0.536917,10
26,1.3562192,-12,0.0030433543,0.9652224,10
37,2.3673007,-12,1.0402473,1.0402473,1
45,1.473535,-12,0.5270626,0.5270626,1
48,1.6027973,-12,0.52282685,0.52282685,2
78,0.84821117,-12,1.0445024,0.9287627,0
82,6.393843,-12,1.407535,1.3068931,0
90,1.139369,-12,1.7199303,1.239476,0
95,2.1979003,-12,0.9540865,0.9540865,1
101,2.2067957,-12,0.9540865,0.9540865,1
107,0.48207086,-12,0.95243484,0.8124956,0
134,2.7105715,-12,0.6342995,0.6342995,1
136,0.83955306,-12,1.1113309,1.00105,0
139,2.9436235,-12,1.0480227,1.0480227,2
147,2.3107271,-12,1.1902164,1.1902164,1
167,0.46298242,-12,1.1446531,1.0271902,0
179,1.990222,-12,1.0243435,1.0243435,1
180,2.626605,-12,0.5027917,0.43127957,0
184,5.423188,-12,0.9869139,0.9869139,1
187,2.1232696,-12,1.031459,1.031459,10
191,0.3926014,-12,0.87687963,0.61324066,0
229,1.254398,-12,0.95708114,0.95708114,1
240,2.3900752,-12,5.156568e-13,0.5975889,10
244,0.7239754,-12,0.8382155,0.8382155,1
251,1.2173291,-12,0.39091483,0.39091483,1
254,0.8009252,-12,1.1573002,0.973283,0
269,1.9875093,-12,1.0452135,1.0452135,1
270,0.5876191,-12,0.65457547,0.5766579,0
273,2.2797165,-12,3.570726e-11,0.9909562,10
281,0.8072132,-12,1.0168623,1.0168623,1
300,1.8297669,-12,0.93361336,0.93361336,2
302,1.5285751,-12,1.1567612,0.9695416,0
307,1.9236789,-12,1.1404175,1.1404175,10
308,1.2205358,-12,0.013247712,0.8099713,10
322,1.9063096,-12,1.033927,1.033927,1
335,2.74434,-12,0.78606844,0.78606844,1
351,1.9133866,-12,1.029702,0.88585377,0
362,1.2910986,-12,0.86255753,0.86255753,1
366,0.60929805,-12,1.084555,1.0451342,0
379,1.4435055,-12,0.9811344,0.9811344,1
386,0.64014107,-12,2.8694406,0.8950792,10
396,2.4748764,-12,0.60355633,0.51517665,0
402,2.1943767,-12,1.1701142,0.9973768,0
413,1.9937787,-12,1.0234424,1.0234424,1
427,0.54829663,-12,1.0785457,0.98385566,0
430,0.7002215,-12,1.0355263,1.0355263,1
432,1.6370269,-12,0.6349964,0.6349964,1
437,0.43618312,-12,0.713107,0.5723452,0
446,2.1259162,-12,1.6383164,1.018141,10
449,1.5442791,-12,1.1242332,0.9473547,0
457,0.8383274,-12,0.70268476,0.62607104,0
466,2.9762414,-12,0.9253481,0.9253481,10
