entry,nu_e,nu_pdg,weightSplineTimesTuneTimesPPFX,weightSplineTimesPPFX,interaction
2,2.2997746,-12,0.7790789,1.0264544,1
10,0.8867264,-12,1.0078626,1.0078626,1
25,2.2771716,-12,1.0296066,1.0462345,0
34,1.708705,-12,1.4194309,1.8701328,1
73,0.5173509,-12,0.78779066,0.6943532,0
86,2.8688893,-12,0.9860064,1.2990861,2
94,1.138569,-12,1.0497999,1.0497999,1
99,0.528616,-12,1.2738761e-05,1.0265477,10
138,1.0798976,-12,0.41355428,0.41355428,1
163,1.8303782,-12,0.32970622,0.43439555,1
351,0.5372318,-12,0.83887523,0.73563355,0
381,0.8670105,-12,0.9835121,0.9217905,0
480,2.1463888,-12,0.81720835,0.711069,0
495,1.1759442,-12,0.35355416,0.35355416,2
501,2.316037,-12,0.7699846,0.7699846,0
519,3.1307292,-12,1.0195948,1.0195948,2
527,2.288648,-12,0.50391877,0.50391877,1
567,0.7984876,-12,5.336677,1.0115658,10
601,3.7521195,-12,0.9652933,0.9652933,10
604,1.6348763,-12,1.0350746,1.0350746,10
647,0.6748441,-12,0.9087747,0.7542761,0
664,1.8890582,-12,1.3007536,1.1706613,0
689,1.945034,-12,10.302103,0.94956696,10
733,0.5579573,-12,1.0276439,1.0384104,0
757,1.7095741,-12,0.34461114,0.45403314,2
838,0.8505787,-12,0.9760101,0.83706677,0
840,2.5689015,-12,0.6866889,0.5903997,0
864,3.3187418,-12,0.39839917,0.5249001,1
930,0.8705022,-12,1.2351398,1.088338,0
959,2.310714,-12,0.50561285,0.50561285,1
961,1.5588813,-12,2.2537984e-08,1.0251625,10
992,1.7208842,-12,0.59102994,0.7786956,2
1005,2.4384093,-12,0.9951737,0.9951737,1
1135,3.5990322,-12,1.1242249,0.97405005,0
1165,1.1290351,-12,0.97119874,0.97119874,1
1169,3.5988252,-12,1.0104822,1.0104822,1
1245,1.1084316,-12,1.0760986,1.0458602,0
1256,1.2156311,-12,1.1768186,0.9263523,0
1289,2.115765,-12,9.16662e-09,0.58296084,10
1332,1.4746416,-12,6.6135986e-09,1.023455,10
1354,0.5200205,-12,1.2128315,1.2421894,0
1364,1.6913093,-12,0.5875119,0.58808285,0
1367,1.1718125,-12,1.4850129e-07,0.9111941,10
1369,2.0813081,-12,0.67330414,0.5762411,0
1558,2.1627114,-12,0.9871321,0.9871321,1
1612,2.5276015,-12,1.1187682,0.97530305,0
1662,0.69154453,-12,1.2755555,1.0899552,0
1666,1.4985492,-12,0.5652744,0.49253362,0
1678,3.7159925,-12,1.098422,1.0650654,0
1703,1.4369804,-12,0.979846,0.8582756,0
2020,2.0439658,-12,0.5023995,0.5023995,0
2083,0.68144655,-12,1.4035432,1.5540301,10
2086,3.4342096,-12,0.990514,0.990514,1
2129,1.1653534,-12,1.2575586,1.0980502,0
2131,3.282839,-12,0.6988057,0.9206926,1
2132,2.4022312,-12,0.416553,0.5488182,1
2197,3.470747,-12,0.88314986,1.1635703,1
2198,2.0722942,-12,1.0486528,1.0486528,2
2213,1.2236048,-12,0.6189895,0.5583058,10
2239,1.3855096,-12,0.63995576,0.84315646,1
2322,2.8758376,-12,0.78142446,1.0295447,10
2353,0.73503864,-12,0.67656666,0.59405744,0
2380,0.9926406,-12,7.9708347,1.0217838,10
2381,1.0096418,-12,0.572021,0.93474054,10
2392,0.6528995,-12,1.0997766,0.8813759,0
2395,1.6745043,-12,0.87791336,0.87791336,1
2541,2.2379644,-12,0.50561285,0.50561285,0
2763,3.0213008,-12,1.1718813,1.0356648,0
2810,6.5818524,-12,0.7239929,0.95387733,2
2858,1.7605537,-12,1.2033871,1.0276241,0
2879,1.9409344,-12,0.798927,0.798927,2
2891,2.7220726,-12,1.1393256,1.5010878,2
2953,2.476223,-12,0.9573737,0.9573737,1
2967,0.7594042,-12,0.000103245366,1.1212903,10
3000,1.3395926,-12,0.5470302,0.5470302,1
3083,0.6422467,-12,0.9086397,0.8968328,0
3154,0.8389839,-12,0.89510065,0.89510065,1
3170,2.2289953,-12,0.9017664,0.9017664,1
3203,0.9263447,-12,0.00018829902,1.0057096,10
3242,1.216011,-12,0.68888927,0.90762746,1
3369,1.8362824,-12,1.085737,1.085737,1
3371,0.9675713,-12,6.8446894,0.87234056,10
3440,0.8146909,-12,0.67218846,0.57230157,0
3448,2.0117261,-12,0.26396835,0.26396835,10
3465,1.8621383,-12,0.98233396,0.98233396,1
3553,1.7111245,-12,1.2988373,1.0059079,0
3567,0.93163735,-12,1.6337708,1.6337708,1
3593,1.8447471,-12,0.587097,0.50759655,0
3597,0.697666,-12,3.5050445,1.0617092,10
3610,1.3260862,-12,1.1338233,0.9651019,0
3613,1.539483,-12,1.1820878,1.024129,0
3615,0.54605937,-12,0.5851105,0.5851105,2
3662,2.6169627,-12,0.81313354,1.0713222,1
3712,2.245329,-12,0.7001097,0.92241067,1
3720,0.6409065,-12,0.77359957,1.0192353,1
3740,0.9333224,-12,0.47989383,0.6322712,1
3807,5.6254015,-12,0.4312261,0.4312261,1
3830,1.38807,-12,1.081152,1.081152,1
3881,0.62428856,-12,0.9685905,0.9083442,0
