entry,nu_e,nu_pdg,weightSplineTimesTuneTimesPPFX,weightSplineTimesPPFX,interaction
4,1.4580613,12,1.0133594,1.0133594,1
6,2.8015459,12,1.0230051,1.0230051,1
18,1.3389423,12,0.9691397,0.9691397,1
20,0.3004612,12,2.3813376e-05,0.8154817,10
53,1.0582699,12,1.1614292,0.99036247,0
59,0.92762375,12,0.9307034,0.79650426,0
62,1.244862,12,0.98134476,0.98134476,1
82,0.8572912,12,4.3866916,1.0154303,10
84,1.1655943,12,3.9390216e-06,0.9948962,10
87,2.3058107,12,0.9706762,0.9706762,1
89,1.0919498,12,0.84811926,0.84811926,1
95,0.6795121,12,0.93894035,0.93894035,1
97,0.97887075,12,1.2242339,1.1887728,0
113,1.0155439,12,4.7523766e-08,0.8867543,10
136,0.8935577,12,0.94582,1.2461396,1
156,0.75130975,12,0.52859205,0.98183364,10
158,1.2245284,12,0.73177737,0.60493577,0
159,1.0911278,12,0.8281036,1.0910456,1
175,0.92214,12,4.5649643,0.9098025,10
181,0.97570056,12,0.029067945,0.50521904,10
183,1.1492163,12,0.53762794,0.53762794,1
202,0.673269,12,0.6245161,0.56159824,0
210,1.5453534,12,1.3874456,1.2026068,0
212,0.8356587,12,1.1157401,0.9444218,0
216,0.7099601,12,0.74180037,0.6119659,0
231,0.5707795,12,0.9080968,0.77245677,0
240,1.6347883,12,0.7859745,1.0355395,2
241,0.65329784,12,1.3080008,1.0953851,0
251,0.7132499,12,1.2116308,1.0331869,0
287,0.5201361,12,1.2970625,1.0963616,0
296,1.5864955,12,1.0494231,0.94708806,0
307,1.2898917,12,0.49329126,0.49329126,1
316,5.5494504,12,0.969147,0.969147,2
317,2.0178232,12,0.6424996,0.6424996,2
325,1.5550781,12,1.1985146,1.0133753,0
328,2.1406307,12,1.1139419,0.97619367,0
342,1.8890685,12,1.064357,1.064357,1
346,0.44001916,12,1.0708901,0.9725168,0
352,1.2779201,12,0.85411954,1.0040655,10
362,1.5696279,12,1.0307729,1.0307729,2
375,0.7229459,12,0.8999644,0.7685393,0
397,1.009594,12,0.79439604,0.67057407,0
402,1.6983647,12,0.6400264,0.57842547,0
406,1.3917437,12,1.1425046,0.9867975,0
417,1.0828753,12,0.22708893,0.85329145,10
418,0.74451005,12,0.5549848,0.49040547,0
423,1.3234094,12,0.9888045,0.8328023,0
428,1.9596738,12,0.71183264,0.9378559,1
431,1.6869686,12,1.063898,1.0724846,0
459,1.8435029,12,0.44215974,0.44215974,1
461,1.3911153,12,1.423161,1.0478835,0
463,1.5113504,12,0.97503173,0.97503173,1
