entry,nu_e,nu_pdg,weightSplineTimesTuneTimesPPFX,weightSplineTimesPPFX,interaction
0,0.6689318,12,0.5210796,0.5210796,1
2,0.88633466,12,1.0283146,0.87791336,0
3,1.4935154,12,1.7616482,0.98505044,10
5,1.320636,12,0.36908343,0.36908343,1
6,0.6284301,12,1.0775793,1.0775793,2
8,0.6728296,12,0.90351874,0.90351874,1
10,1.2672766,12,1.2874211,1.2874211,1
11,2.003134,12,0.9705813,0.9705813,1
12,0.51368487,12,0.68410087,0.5915529,0
13,3.4692733,12,0.5239648,0.5239648,1
14,2.1151254,12,0.7680588,0.7680588,1
15,1.7282708,12,0.73861784,0.6238526,0
16,0.549606,12,0.65045476,0.65045476,1
17,1.2420621,12,1.1024616,0.995086,0
18,1.063655,12,1.2808824,1.0318938,0
19,0.78174585,12,1.0187656,1.0187656,1
20,1.1051147,12,0.9046206,0.9046206,1
22,0.9261718,12,1.1569891,1.0429492,0
23,1.6240027,12,1.0371339,1.0371339,1
24,2.1470618,12,1.0089896,1.0089896,1
27,1.0226953,12,0.50021577,0.50021577,2
28,1.0722022,12,2.0675561,1.7160956,0
29,2.535561,12,1.0511041,1.0511041,2
30,0.8779277,12,1.0744169,0.89603525,0
31,1.3572223,12,0.581554,0.581554,1
32,1.0349754,12,1.4018186,1.1924248,0
33,1.6498803,12,1.028967,1.028967,1
34,0.6680695,12,1.2263634,1.0708746,0
35,1.3411514,12,0.95113415,0.81102246,0
36,1.6894385,12,0.6401644,0.6401644,2
37,3.9979568,12,0.97630024,0.97630024,2
38,1.8716404,12,1.2385287,1.2385287,2
39,1.0079343,12,1.833998,1.4275486,0
41,0.6790439,12,0.9522494,0.9522494,1
42,1.8008522,12,0.31551304,0.31551304,1
43,1.045368,12,1.2025205,1.0477931,0
44,1.3969765,12,0.51837176,0.51837176,1
45,0.9042082,12,1.2117354,1.0474318,0
46,1.5895987,12,1.0237552,1.0237552,1
47,0.46156827,12,1.2472318,1.052812,0
49,1.4324247,12,0.96354395,0.96354395,1
50,3.4293034,12,0.9749612,0.9749612,2
51,0.391508,12,0.7407753,0.63300425,0
52,1.1251907,12,0.9384273,0.87154603,0
53,3.4836066,12,0.7434324,0.7434324,1
55,0.6780999,12,1.1392642,0.9002542,10
56,2.3476613,12,0.5967151,0.5967151,2
57,3.3983903,12,1.0188634,1.0188634,1
58,2.0664413,12,8.842281e-05,1.350546,10
59,1.4423214,12,0.97258466,0.97258466,2
60,4.175643,12,0.726512,0.726512,1
61,0.9978905,12,0.63559175,0.50253445,0
62,1.084517,12,0.9594432,0.9594432,2
63,0.7404377,12,0.31397635,0.31397635,1
64,0.74990165,12,1.4367092,1.2031461,0
65,1.2315701,12,0.99272704,0.82748115,0
66,0.7398098,12,2.1474965,0.75414926,10
67,1.2752268,12,1.1101708,1.1101708,1
68,2.3342712,12,1.217283,0.9706762,0
70,2.8243947,12,0.5407936,0.5407936,2
71,1.5705637,12,1.1855165,1.0333865,0
72,1.7026129,12,0.962927,0.962927,2
73,0.9266529,12,1.2874788,1.1411813,0
75,1.3129191,12,0.9856433,0.8080921,0
77,2.1606288,12,1.0053222,1.0053222,10
78,1.319637,12,1.0272024,1.0272024,1
79,0.891225,12,1.1853493,0.9733351,0
80,0.63045,12,6.2133293e-10,0.391707,10
81,2.2983365,12,0.9706762,0.9706762,1
82,2.2790318,12,1.083778,1.083778,10
83,1.5354352,12,1.2039343,1.0108819,0
85,1.4291383,12,1.6244531,1.6244531,1
86,2.411652,12,1.0397824,1.0397824,1
87,0.8316284,12,0.99950415,0.86715037,0
88,1.0246153,12,0.5741616,0.49572164,0
89,2.4507139,12,0.99073243,0.99073243,2
90,1.048586,12,7.859618e-06,0.5437413,10
91,0.92634064,12,0.6686479,0.54001033,0
94,1.9843583,12,1.0696137,1.0696137,1
95,5.2547455,12,1.7095716,1.7095716,1
97,1.2418956,12,0.95783514,0.95783514,1
98,0.53270054,12,1.1833524,1.0045103,0
99,1.7967019,12,2.2906054e-33,0.8431274,10
100,0.92329824,12,1.2210003,1.0454555,0
101,1.0018039,12,0.6849703,0.60833603,0
104,1.0044364,12,1.526069,1.2204776,0
105,0.66212267,12,1.1576124,1.1576124,1
107,1.5398132,12,0.87498784,0.87498784,1
108,1.3777039,12,1.6403917,1.3083622,0
109,1.010948,12,0.61854446,0.61854446,1
110,1.5630853,12,4.7442998e-05,0.6396156,10
111,0.86776406,12,0.9461577,0.9461577,1
113,0.6224071,12,1.4015837,1.219176,0
114,1.0826664,12,0.0005804492,0.904041,10
115,0.5043741,12,0.54916656,0.50886124,0
116,0.59201044,12,5.204279e-06,0.87791336,10
