entry,nu_e,nu_pdg,weightSplineTimesTuneTimesPPFX,weightSplineTimesPPFX,interaction
11,0.77158225,-12,0.645833,0.55017227,0
12,0.9293899,-12,1.1005855,1.1005855,1
15,2.9250085,-12,1.2539423,1.2539423,1
17,1.3523536,-12,0.88549536,0.88549536,1
20,1.8741839,-12,5.2093954,1.0199074,10
23,0.29462653,-12,1.0755898,1.0318248,0
31,1.8048704,-12,0.74244124,0.6737323,0
44,0.99675494,-12,0.82491356,0.82491356,2
46,1.7759664,-12,0.9880842,0.9880842,1
54,0.87572736,-12,0.7216163,0.52661866,0
55,0.9919535,-12,0.42752144,0.39395556,0
58,1.1516063,-12,0.7987763,0.73106873,0
64,1.9477506,-12,5.2761543e-06,0.91508794,10
66,0.7977872,-12,0.40459326,1.0172518,10
67,2.8269606,-12,0.95387864,0.95387864,1
77,1.1248832,-12,0.54144275,0.54144275,1
78,1.0469542,-12,1.0729182,1.0624995,0
81,2.021092,-12,0.46907648,0.46907648,1
86,2.1023767,-12,0.5250173,0.4796805,0
89,1.0253093,-12,0.7960414,0.7960414,1
92,3.7723756,-12,1.0559171,0.9429799,0
95,0.78289586,-12,1.171899,1.0352381,0
102,0.9751092,-12,0.9940309,0.9940309,1
109,0.9258704,-12,1.003283,1.003283,1
113,2.2798326,-12,0.13816504,1.0709836,10
117,0.5410165,-12,0.13194875,0.9079143,10
119,1.489213,-12,0.6426626,0.5669822,0
122,1.2758675,-12,1.1577348,1.0188547,0
134,1.5077274,-12,0.5669822,0.5669822,1
136,1.4996407,-12,0.5669822,0.5669822,1
137,0.57112724,-12,1.1092912,0.88765955,0
138,1.1260643,-12,0.47934672,0.47934672,1
148,1.1186961,-12,1.2726287,1.3228177,0
149,3.3380108,-12,0.5417823,0.5417823,2
152,2.0737317,-12,1.1501584,1.0117239,10
162,1.715327,-12,0.94034314,0.94034314,2
172,1.1108116,-12,0.9576223,0.8223239,0
176,1.752457,-12,1.3877136,1.0408348,0
182,1.7536235,-12,1.0408348,1.0408348,2
196,0.63960016,-12,0.0018433802,1.060978,10
198,1.2227242,-12,0.794849,0.794849,1
214,0.5893535,-12,0.89633685,0.89633685,1
216,1.2777154,-12,0.36975223,0.3090826,0
217,3.5258214,-12,0.5811587,0.53455436,0
230,0.51265925,-12,1.263333,1.0,0
232,0.94731987,-12,1.813684,0.6484314,10
238,1.4657838,-12,0.9312659,0.9312659,1
247,1.999948,-12,1.06957,1.06957,2
248,1.0887063,-12,1.0861467,0.9229416,0
255,1.48464,-12,1.0752007,0.9482732,0
260,2.0870788,-12,1.0396338,1.0396338,2
287,3.3737013,-12,0.9706577,0.9706577,2
288,0.40988597,-12,0.6464208,0.49381837,0
293,0.5905574,-12,1.0474267,1.0474267,1
299,1.2464167,-12,0.6807139,0.5178242,0
306,1.6802359,-12,0.70524305,0.9680441,0
307,0.93469906,-12,1.1774036,1.0671412,0
314,2.115675,-12,1.1426656,0.941882,0
315,0.7102879,-12,1.0084603,1.0084603,3
319,1.4602447,-12,1.0008843,1.0008843,2
321,0.31431028,-12,1.058928,1.1551195,0
326,1.4076856,-12,1.0309296,1.0309296,1
332,0.7810234,-12,1.0099111,0.92505723,0
333,1.6220545,-12,0.66360027,0.66360027,1
337,1.0837697,-12,1.0225068,0.86090547,0
340,0.42431253,-12,0.98842186,1.0031308,0
347,0.25242552,-12,0.5188128,0.53310025,0
351,1.3712598,-12,0.6594835,0.8741873,0
367,2.2082999,-12,0.50512546,0.50512546,2
373,1.6475154,-12,0.9963276,0.9963276,1
378,0.40705565,-12,1.5001616,1.0142605,0
387,2.8280482,-12,0.5335562,0.5335562,1
388,1.6906203,-12,0.9217905,0.9217905,2
396,2.7093506,-12,0.9319017,0.9319017,1
397,1.9785063,-12,1.2179493,1.060656,0
403,0.6842115,-12,0.7396588,0.6569065,0
408,1.2731813,-12,1.0489285,1.0489285,1
419,1.0622289,-12,1.6682434,1.6682434,1
429,0.938033,-12,0.00091955875,0.6352584,10
435,2.085893,-12,0.9498378,0.9498378,2
