universe,knob,knob_name,setting
0,0,MaCCQE,9.30123
0,1,CoulombCCQE,1.01268
0,2,MaNCEL,-0.676191
0,3,EtaNCEL,1.63089
0,4,NormCCMEC,0.131934
0,5,NormNCMEC,-0.218476
0,6,FracPN_CCMEC,-0.571217
0,7,FracDelta_CCMEC,-0.144778
0,8,MaCCRES,0.442053
0,9,MvCCRES,-0.179057
0,10,MaNCRES,0.179307
0,11,MvNCRES,0.748317
0,12,NonRESBGvpCC1pi,-0.365909
0,13,NonRESBGvpCC2pi,-2.09848
0,14,NonRESBGvpNC1pi,0.887625
0,15,NonRESBGvpNC2pi,-0.54425
0,16,NonRESBGvnCC1pi,-0.508503
0,17,NonRESBGvnCC2pi,0.479655
0,18,NonRESBGvnNC1pi,-0.625567
0,19,NonRESBGvnNC2pi,-1.8239
0,20,NonRESBGvbarpCC1pi,-1.42856
0,21,NonRESBGvbarpCC2pi,-0.139336
0,22,NonRESBGvbarpNC1pi,2.40282
0,23,NonRESBGvbarpNC2pi,1.64627
0,24,NonRESBGvbarnCC1pi,-1.86616
0,25,NonRESBGvbarnCC2pi,0.429913
0,26,NonRESBGvbarnNC1pi,0.647457
0,27,NonRESBGvbarnNC2pi,-2.77555
0,28,AhtBY,-1.18633
0,29,BhtBY,1.3784
0,30,CV1uBY,0.735719
0,31,CV2uBY,0.728241
0,32,AGKYxF1pi,-0.140792
0,33,AGKYpT1pi,0.651507
0,34,MFP_pi,1.74249
0,35,MFP_N,-0.149891
0,36,FrCEx_pi,-0.249482
0,37,FrInel_pi,-0.649054
0,38,FrAbs_pi,1.43659
0,39,FrCEx_N,0.166464
0,40,FrInel_N,2.16671
0,41,FrAbs_N,1.21813
0,42,RDecBR1gamma,-0.116749
0,43,RDecBR1eta,-0.886613
0,44,XSecShape_CCMEC,1
0,45,RPA_CCQE,0.151
1,0,MaCCQE,1.87951
1,1,CoulombCCQE,-0.505197
1,2,MaNCEL,-1.52372
1,3,EtaNCEL,-0.590569
1,4,NormCCMEC,0.0422252
1,5,NormNCMEC,-1.30274
