N,POT,N/POT,error
NP,NPBDT, ,
35.0,2.756e+20,12.69956458635704,2.1466182086718493
NP,NPL, ,
104.0,2.756e+20,37.735849056603776,3.70030443656951
NP,None, ,
6808.0,2.756e+20,2470.246734397678,29.93853605912376
NPLowE,NPBDT, ,
10.0,2.756e+20,3.62844702467344,1.1474156967229245
NPLowE,NPL, ,
59.0,2.756e+20,21.407837445573296,2.7870630434936894
NPLowE,None, ,
3476.0,2.756e+20,1261.2481857764878,21.39245714511419
ZP,ZPBDT, ,
10.0,2.756e+20,3.62844702467344,1.1474156967229245
ZP,ZPLOOSESEL, ,
305.0,2.756e+20,110.66763425253993,6.336810303546074
ZP,None, ,
2773.0,2.756e+20,1006.1683599419449,19.10714157573525
ZPLowE,ZPBDT, ,
8.0,2.756e+20,2.902757619738752,1.0262797985290968
ZPLowE,ZPLOOSESEL, ,
208.0,2.756e+20,75.47169811320755,5.2330207191059355
ZPLowE,None, ,
1609.0,2.756e+20,583.8171262699565,14.554550885436562
